State,District,Year,Quarter,Total_transaction,Transaction_amount
Bihar,sitamarhi district,2018,Q1 (Jan - Mar),145625,162281680
Bihar,saran district,2018,Q1 (Jan - Mar),149786,171839806
Bihar,arwal district,2018,Q1 (Jan - Mar),31620,27549102
Bihar,vaishali district,2018,Q1 (Jan - Mar),201678,211794626
Bihar,pashchim champaran district,2018,Q1 (Jan - Mar),215866,236190496
Bihar,gopalganj district,2018,Q1 (Jan - Mar),107134,141070590
Bihar,lakhisarai district,2018,Q1 (Jan - Mar),42937,43611675
Bihar,aurangabad district,2018,Q1 (Jan - Mar),114354,114737537
Bihar,kaimur bhabua district,2018,Q1 (Jan - Mar),64493,70110158
Bihar,araria district,2018,Q1 (Jan - Mar),81597,95184067
Bihar,munger district,2018,Q1 (Jan - Mar),64639,64455596
Bihar,katihar district,2018,Q1 (Jan - Mar),138075,129701645
Bihar,khagaria district,2018,Q1 (Jan - Mar),65892,71955894
Bihar,saharsa district,2018,Q1 (Jan - Mar),88087,82038819
Bihar,bhagalpur district,2018,Q1 (Jan - Mar),174456,172905796
Bihar,madhubani district,2018,Q1 (Jan - Mar),173946,203080851
Bihar,kishanganj district,2018,Q1 (Jan - Mar),38179,45880790
Bihar,gaya district,2018,Q1 (Jan - Mar),231873,227470166
Bihar,samastipur district,2018,Q1 (Jan - Mar),222241,213634124
Bihar,banka district,2018,Q1 (Jan - Mar),39192,32623795
Bihar,purbi champaran district,2018,Q1 (Jan - Mar),254643,264192918
Bihar,sheohar district,2018,Q1 (Jan - Mar),25700,22183882
Bihar,bhojpur district,2018,Q1 (Jan - Mar),115890,117985836
Chandigarh,chandigarh district,2018,Q1 (Jan - Mar),381895,613435420
Chhattisgarh,dhamtari district,2018,Q1 (Jan - Mar),40907,36969406
Chhattisgarh,korba district,2018,Q1 (Jan - Mar),93345,99366683
Chhattisgarh,surajpur district,2018,Q1 (Jan - Mar),35573,34242977
Chhattisgarh,baloda bazar district,2018,Q1 (Jan - Mar),61987,55455251
Chhattisgarh,sukma district,2018,Q1 (Jan - Mar),3825,6509136
Chhattisgarh,raigarh district,2018,Q1 (Jan - Mar),133135,140463994
Chhattisgarh,janjgir champa district,2018,Q1 (Jan - Mar),219761,223984259
Chhattisgarh,jashpur district,2018,Q1 (Jan - Mar),41174,39068620
Chhattisgarh,balod district,2018,Q1 (Jan - Mar),36121,33548672
Chhattisgarh,kabirdham district,2018,Q1 (Jan - Mar),32615,22661025
Chhattisgarh,surguja district,2018,Q1 (Jan - Mar),68251,77822921
Chhattisgarh,dantewada district,2018,Q1 (Jan - Mar),8452,12999922
Chhattisgarh,gariyaband district,2018,Q1 (Jan - Mar),40648,38684589
Chhattisgarh,durg district,2018,Q1 (Jan - Mar),226774,274435199
Chhattisgarh,rajnandgaon district,2018,Q1 (Jan - Mar),73040,79830832
Chhattisgarh,raipur district,2018,Q1 (Jan - Mar),323570,474633363
Chhattisgarh,narayanpur district,2018,Q1 (Jan - Mar),2998,2964107
Chhattisgarh,kanker district,2018,Q1 (Jan - Mar),29788,28373231
Chhattisgarh,korea district,2018,Q1 (Jan - Mar),39025,44008432
Chhattisgarh,mungeli district,2018,Q1 (Jan - Mar),19819,15819138
Chhattisgarh,bilaspur district,2018,Q1 (Jan - Mar),158509,169865045
Chhattisgarh,balrampur district,2018,Q1 (Jan - Mar),29546,41793646
Chhattisgarh,bijapur district,2018,Q1 (Jan - Mar),5863,10478592
Chhattisgarh,bemetara district,2018,Q1 (Jan - Mar),41406,40326244
Chhattisgarh,bastar district,2018,Q1 (Jan - Mar),38895,50365512
Chhattisgarh,kondagaon district,2018,Q1 (Jan - Mar),22249,25283402
Chhattisgarh,mahasamund district,2018,Q1 (Jan - Mar),64238,69201346
Dadra and Nagar Haveli and Daman and Diu,diu district,2018,Q1 (Jan - Mar),5593,6434481
Dadra and Nagar Haveli and Daman and Diu,daman district,2018,Q1 (Jan - Mar),50218,63416803
