State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Jharkhand,2019,Q1 (Jan - Mar),Recharge & bill payments,2347079,440323945
Jharkhand,2019,Q1 (Jan - Mar),Merchant payments,892826,391616776
Jharkhand,2019,Q1 (Jan - Mar),Financial Services,105558,47227410
Jharkhand,2019,Q1 (Jan - Mar),Others,90140,83358664
Karnataka,2019,Q1 (Jan - Mar),Peer-to-peer payments,44049036,104118436760
Karnataka,2019,Q1 (Jan - Mar),Merchant payments,24491960,7076613843
Karnataka,2019,Q1 (Jan - Mar),Recharge & bill payments,16981941,6217689429
Karnataka,2019,Q1 (Jan - Mar),Financial Services,293728,51023386
Karnataka,2019,Q1 (Jan - Mar),Others,770944,512618725
Kerala,2019,Q1 (Jan - Mar),Peer-to-peer payments,3601116,9314451112
Kerala,2019,Q1 (Jan - Mar),Recharge & bill payments,2180915,498453895
Kerala,2019,Q1 (Jan - Mar),Merchant payments,550707,371997848
Kerala,2019,Q1 (Jan - Mar),Financial Services,77652,7808573
Kerala,2019,Q1 (Jan - Mar),Others,58649,42319704
Ladakh,2019,Q1 (Jan - Mar),Peer-to-peer payments,22076,139715922
Ladakh,2019,Q1 (Jan - Mar),Recharge & bill payments,20014,7186109
Ladakh,2019,Q1 (Jan - Mar),Merchant payments,3238,4967122
Ladakh,2019,Q1 (Jan - Mar),Financial Services,114,111851
Ladakh,2019,Q1 (Jan - Mar),Others,703,878916
Lakshadweep,2019,Q1 (Jan - Mar),Peer-to-peer payments,1183,8221402
Lakshadweep,2019,Q1 (Jan - Mar),Recharge & bill payments,1173,353870
Lakshadweep,2019,Q1 (Jan - Mar),Merchant payments,113,183062
Lakshadweep,2019,Q1 (Jan - Mar),Others,12,27795
Madhya Pradesh,2019,Q1 (Jan - Mar),Peer-to-peer payments,23708825,44114206183
Madhya Pradesh,2019,Q1 (Jan - Mar),Recharge & bill payments,9966905,2423593841
Madhya Pradesh,2019,Q1 (Jan - Mar),Merchant payments,3018928,1263699222
Madhya Pradesh,2019,Q1 (Jan - Mar),Financial Services,290838,28901169
Madhya Pradesh,2019,Q1 (Jan - Mar),Others,315553,239879105
Maharashtra,2019,Q1 (Jan - Mar),Peer-to-peer payments,37360716,97373087988
Maharashtra,2019,Q1 (Jan - Mar),Recharge & bill payments,24540041,8256500586
Maharashtra,2019,Q1 (Jan - Mar),Merchant payments,12069119,5172594695
Maharashtra,2019,Q1 (Jan - Mar),Financial Services,287569,49487746
Maharashtra,2019,Q1 (Jan - Mar),Others,821624,569019903
Manipur,2019,Q1 (Jan - Mar),Peer-to-peer payments,127067,619919870
Manipur,2019,Q1 (Jan - Mar),Recharge & bill payments,120000,22106830
Manipur,2019,Q1 (Jan - Mar),Merchant payments,15190,14580183
Manipur,2019,Q1 (Jan - Mar),Financial Services,800,174777
Manipur,2019,Q1 (Jan - Mar),Others,2352,3116398
Meghalaya,2019,Q1 (Jan - Mar),Recharge & bill payments,98817,23006751
Meghalaya,2019,Q1 (Jan - Mar),Peer-to-peer payments,90694,358932132
Meghalaya,2019,Q1 (Jan - Mar),Merchant payments,16073,14297275
Meghalaya,2019,Q1 (Jan - Mar),Financial Services,659,62335
Meghalaya,2019,Q1 (Jan - Mar),Others,2498,2738667
Mizoram,2019,Q1 (Jan - Mar),Peer-to-peer payments,35126,204183867
Mizoram,2019,Q1 (Jan - Mar),Recharge & bill payments,30327,6760113
Mizoram,2019,Q1 (Jan - Mar),Merchant payments,3984,6470456
Mizoram,2019,Q1 (Jan - Mar),Financial Services,133,33512
Mizoram,2019,Q1 (Jan - Mar),Others,736,712945
Nagaland,2019,Q1 (Jan - Mar),Recharge & bill payments,87596,20020458
Nagaland,2019,Q1 (Jan - Mar),Peer-to-peer payments,71642,411855878
Nagaland,2019,Q1 (Jan - Mar),Merchant payments,7306,8187940
Nagaland,2019,Q1 (Jan - Mar),Financial Services,430,101072
Nagaland,2019,Q1 (Jan - Mar),Others,1605,1776362
Odisha,2019,Q1 (Jan - Mar),Peer-to-peer payments,24117274,33342321630
Odisha,2019,Q1 (Jan - Mar),Recharge & bill payments,6713747,1120730273
Odisha,2019,Q1 (Jan - Mar),Merchant payments,2690762,821493664
Odisha,2019,Q1 (Jan - Mar),Financial Services,375910,34542738
Odisha,2019,Q1 (Jan - Mar),Others,134249,108039623
Puducherry,2019,Q1 (Jan - Mar),Peer-to-peer payments,313822,835983054
Puducherry,2019,Q1 (Jan - Mar),Recharge & bill payments,124092,32635247
Puducherry,2019,Q1 (Jan - Mar),Merchant payments,54518,33763704
Puducherry,2019,Q1 (Jan - Mar),Financial Services,3165,337570
Puducherry,2019,Q1 (Jan - Mar),Others,5495,3753447
Punjab,2019,Q1 (Jan - Mar),Peer-to-peer payments,4026294,12027441595
Punjab,2019,Q1 (Jan - Mar),Recharge & bill payments,2304690,986004867
Punjab,2019,Q1 (Jan - Mar),Merchant payments,711152,478382600
Punjab,2019,Q1 (Jan - Mar),Financial Services,45621,6871295
Punjab,2019,Q1 (Jan - Mar),Others,84380,75789641
Rajasthan,2019,Q1 (Jan - Mar),Peer-to-peer payments,27621606,55246071722
Rajasthan,2019,Q1 (Jan - Mar),Recharge & bill payments,11650961,3821181816
Rajasthan,2019,Q1 (Jan - Mar),Merchant payments,3921438,1664209334
Rajasthan,2019,Q1 (Jan - Mar),Financial Services,359993,36340412
Rajasthan,2019,Q1 (Jan - Mar),Others,402042,373355289
Sikkim,2019,Q1 (Jan - Mar),Peer-to-peer payments,121984,422987999
Sikkim,2019,Q1 (Jan - Mar),Recharge & bill payments,96878,20711589
Sikkim,2019,Q1 (Jan - Mar),Merchant payments,18346,11837344
Sikkim,2019,Q1 (Jan - Mar),Financial Services,1225,191594
Sikkim,2019,Q1 (Jan - Mar),Others,1854,2265105
Tamil Nadu,2019,Q1 (Jan - Mar),Peer-to-peer payments,18645926,51296299081
Tamil Nadu,2019,Q1 (Jan - Mar),Recharge & bill payments,8863289,2695317014
Tamil Nadu,2019,Q1 (Jan - Mar),Merchant payments,4195222,1924461188
Tamil Nadu,2019,Q1 (Jan - Mar),Financial Services,193261,31217137
Tamil Nadu,2019,Q1 (Jan - Mar),Others,377347,256742393
Telangana,2019,Q1 (Jan - Mar),Peer-to-peer payments,40488967,87361237975
Telangana,2019,Q1 (Jan - Mar),Merchant payments,12341901,4144368545
Telangana,2019,Q1 (Jan - Mar),Recharge & bill payments,11525394,3619117615
Telangana,2019,Q1 (Jan - Mar),Financial Services,463688,54547989
Telangana,2019,Q1 (Jan - Mar),Others,470752,343989909
Tripura,2019,Q1 (Jan - Mar),Peer-to-peer payments,296993,679165332
Tripura,2019,Q1 (Jan - Mar),Recharge & bill payments,227997,44429378
Tripura,2019,Q1 (Jan - Mar),Merchant payments,46642,28109966
Tripura,2019,Q1 (Jan - Mar),Financial Services,4189,461473
Tripura,2019,Q1 (Jan - Mar),Others,5105,4728790
Uttar Pradesh,2019,Q1 (Jan - Mar),Peer-to-peer payments,32062452,68506766330
Uttar Pradesh,2019,Q1 (Jan - Mar),Recharge & bill payments,15400713,4231102032
Uttar Pradesh,2019,Q1 (Jan - Mar),Merchant payments,8558766,3105904146
Uttar Pradesh,2019,Q1 (Jan - Mar),Financial Services,389733,43341558
Uttar Pradesh,2019,Q1 (Jan - Mar),Others,912840,637066065
Uttarakhand,2019,Q1 (Jan - Mar),Peer-to-peer payments,3499130,6512361464
Uttarakhand,2019,Q1 (Jan - Mar),Recharge & bill payments,1590269,394631055
Uttarakhand,2019,Q1 (Jan - Mar),Merchant payments,372290,226281078
Uttarakhand,2019,Q1 (Jan - Mar),Financial Services,28784,3951610
Uttarakhand,2019,Q1 (Jan - Mar),Others,55528,46303966
West Bengal,2019,Q1 (Jan - Mar),Peer-to-peer payments,27374206,44170923881
West Bengal,2019,Q1 (Jan - Mar),Recharge & bill payments,11659948,3021107711
West Bengal,2019,Q1 (Jan - Mar),Merchant payments,7636726,2645438308
West Bengal,2019,Q1 (Jan - Mar),Financial Services,525650,47986448
West Bengal,2019,Q1 (Jan - Mar),Others,429858,279216273
Andaman & Nicobar,2019,Q2 (Apr - Jun),Recharge & bill payments,14676,7242448
Andaman & Nicobar,2019,Q2 (Apr - Jun),Peer-to-peer payments,14481,107525358
Andaman & Nicobar,2019,Q2 (Apr - Jun),Merchant payments,4031,4702152
Andaman & Nicobar,2019,Q2 (Apr - Jun),Financial Services,124,113278
Andaman & Nicobar,2019,Q2 (Apr - Jun),Others,377,671471
Andhra Pradesh,2019,Q2 (Apr - Jun),Peer-to-peer payments,32494402,103924649232
Andhra Pradesh,2019,Q2 (Apr - Jun),Recharge & bill payments,14093964,4708345387
Andhra Pradesh,2019,Q2 (Apr - Jun),Merchant payments,9226537,4613405202
Andhra Pradesh,2019,Q2 (Apr - Jun),Financial Services,145310,26626696
Andhra Pradesh,2019,Q2 (Apr - Jun),Others,448802,361492238
Arunachal Pradesh,2019,Q2 (Apr - Jun),Recharge & bill payments,131988,30420803
Arunachal Pradesh,2019,Q2 (Apr - Jun),Peer-to-peer payments,106527,704237943
Arunachal Pradesh,2019,Q2 (Apr - Jun),Merchant payments,16828,13955724
Arunachal Pradesh,2019,Q2 (Apr - Jun),Financial Services,267,160660
Arunachal Pradesh,2019,Q2 (Apr - Jun),Others,3046,3880742
Assam,2019,Q2 (Apr - Jun),Recharge & bill payments,2512932,539315772
Assam,2019,Q2 (Apr - Jun),Peer-to-peer payments,2293770,10035232820
Assam,2019,Q2 (Apr - Jun),Merchant payments,573646,326844709
Assam,2019,Q2 (Apr - Jun),Financial Services,13654,4037222
Assam,2019,Q2 (Apr - Jun),Others,60927,49538663
Bihar,2019,Q2 (Apr - Jun),Peer-to-peer payments,15837449,58381285240
Bihar,2019,Q2 (Apr - Jun),Recharge & bill payments,9279442,1996804238
Bihar,2019,Q2 (Apr - Jun),Merchant payments,4365465,2308145849
Bihar,2019,Q2 (Apr - Jun),Financial Services,129603,63338108
Bihar,2019,Q2 (Apr - Jun),Others,348520,382864846
Chandigarh,2019,Q2 (Apr - Jun),Peer-to-peer payments,604849,2339922407
Chandigarh,2019,Q2 (Apr - Jun),Recharge & bill payments,342294,185659011
Chandigarh,2019,Q2 (Apr - Jun),Merchant payments,277811,152766864
Chandigarh,2019,Q2 (Apr - Jun),Financial Services,5590,839765
Chandigarh,2019,Q2 (Apr - Jun),Others,21926,13928050
Chhattisgarh,2019,Q2 (Apr - Jun),Peer-to-peer payments,4350167,15410038389
Chhattisgarh,2019,Q2 (Apr - Jun),Recharge & bill payments,3435305,855753107
Chhattisgarh,2019,Q2 (Apr - Jun),Merchant payments,1483870,654411637
Chhattisgarh,2019,Q2 (Apr - Jun),Financial Services,22563,4237631
Chhattisgarh,2019,Q2 (Apr - Jun),Others,98040,77914922
Dadra and Nagar Haveli and Daman and Diu,2019,Q2 (Apr - Jun),Peer-to-peer payments,244134,734034142
Dadra and Nagar Haveli and Daman and Diu,2019,Q2 (Apr - Jun),Recharge & bill payments,198184,63874445
Dadra and Nagar Haveli and Daman and Diu,2019,Q2 (Apr - Jun),Merchant payments,40781,20816136
Dadra and Nagar Haveli and Daman and Diu,2019,Q2 (Apr - Jun),Financial Services,748,155149
Dadra and Nagar Haveli and Daman and Diu,2019,Q2 (Apr - Jun),Others,5809,5561402
Delhi,2019,Q2 (Apr - Jun),Merchant payments,20891431,6816878922
Delhi,2019,Q2 (Apr - Jun),Peer-to-peer payments,20570311,65953571241
Delhi,2019,Q2 (Apr - Jun),Recharge & bill payments,12869453,8035701902
Delhi,2019,Q2 (Apr - Jun),Financial Services,137774,33985068
Delhi,2019,Q2 (Apr - Jun),Others,2702543,866678928
Goa,2019,Q2 (Apr - Jun),Peer-to-peer payments,373759,1391933790
Goa,2019,Q2 (Apr - Jun),Recharge & bill payments,278060,93218689
Goa,2019,Q2 (Apr - Jun),Merchant payments,104592,92873008
Goa,2019,Q2 (Apr - Jun),Financial Services,1211,515859
Goa,2019,Q2 (Apr - Jun),Others,10819,13325754
Gujarat,2019,Q2 (Apr - Jun),Peer-to-peer payments,12547493,41853661230
Gujarat,2019,Q2 (Apr - Jun),Recharge & bill payments,10434449,4651874823
Gujarat,2019,Q2 (Apr - Jun),Merchant payments,5486791,2526448415
Gujarat,2019,Q2 (Apr - Jun),Financial Services,70502,17349813
Gujarat,2019,Q2 (Apr - Jun),Others,442607,271280936
Haryana,2019,Q2 (Apr - Jun),Peer-to-peer payments,10387562,37056084813
Haryana,2019,Q2 (Apr - Jun),Recharge & bill payments,5902923,2838724048
Haryana,2019,Q2 (Apr - Jun),Merchant payments,5738283,2292901816
Haryana,2019,Q2 (Apr - Jun),Financial Services,57488,12080285
Haryana,2019,Q2 (Apr - Jun),Others,655560,301748850
Himachal Pradesh,2019,Q2 (Apr - Jun),Peer-to-peer payments,1141873,4428007670
Himachal Pradesh,2019,Q2 (Apr - Jun),Recharge & bill payments,1076793,279864579
Himachal Pradesh,2019,Q2 (Apr - Jun),Merchant payments,248517,141088575
Himachal Pradesh,2019,Q2 (Apr - Jun),Financial Services,5013,1453651
Himachal Pradesh,2019,Q2 (Apr - Jun),Others,30110,25469495
Jammu & Kashmir,2019,Q2 (Apr - Jun),Peer-to-peer payments,1180781,5666318253
Jammu & Kashmir,2019,Q2 (Apr - Jun),Recharge & bill payments,706569,215937468
Jammu & Kashmir,2019,Q2 (Apr - Jun),Merchant payments,353678,188931529
Jammu & Kashmir,2019,Q2 (Apr - Jun),Financial Services,22663,2652961
Jammu & Kashmir,2019,Q2 (Apr - Jun),Others,32664,26301988
Jharkhand,2019,Q2 (Apr - Jun),Peer-to-peer payments,5155937,17044444613
Jharkhand,2019,Q2 (Apr - Jun),Recharge & bill payments,2734377,562210324
Jharkhand,2019,Q2 (Apr - Jun),Merchant payments,2049311,862186711
Jharkhand,2019,Q2 (Apr - Jun),Financial Services,67479,51588987
Jharkhand,2019,Q2 (Apr - Jun),Others,121107,102270668
Karnataka,2019,Q2 (Apr - Jun),Peer-to-peer payments,50033334,142910706254
Karnataka,2019,Q2 (Apr - Jun),Merchant payments,44848593,12338599108
Karnataka,2019,Q2 (Apr - Jun),Recharge & bill payments,19283028,7745156562
Karnataka,2019,Q2 (Apr - Jun),Financial Services,140353,44871623
Karnataka,2019,Q2 (Apr - Jun),Others,1096296,662690676
Kerala,2019,Q2 (Apr - Jun),Peer-to-peer payments,3519528,11630623424
Kerala,2019,Q2 (Apr - Jun),Recharge & bill payments,2711299,768892057
Kerala,2019,Q2 (Apr - Jun),Merchant payments,937130,569545842
Kerala,2019,Q2 (Apr - Jun),Financial Services,38869,5823291
Kerala,2019,Q2 (Apr - Jun),Others,77000,56486944
Ladakh,2019,Q2 (Apr - Jun),Peer-to-peer payments,34202,240305709
Ladakh,2019,Q2 (Apr - Jun),Recharge & bill payments,25357,10116773
Ladakh,2019,Q2 (Apr - Jun),Merchant payments,8220,7726519
Ladakh,2019,Q2 (Apr - Jun),Financial Services,86,113767
Ladakh,2019,Q2 (Apr - Jun),Others,907,992737
Lakshadweep,2019,Q2 (Apr - Jun),Recharge & bill payments,1448,436735
Lakshadweep,2019,Q2 (Apr - Jun),Peer-to-peer payments,1318,8602732
Lakshadweep,2019,Q2 (Apr - Jun),Merchant payments,137,190716
Lakshadweep,2019,Q2 (Apr - Jun),Others,23,12340
Madhya Pradesh,2019,Q2 (Apr - Jun),Peer-to-peer payments,20868744,61758841793
Madhya Pradesh,2019,Q2 (Apr - Jun),Recharge & bill payments,12044969,3571897178
Madhya Pradesh,2019,Q2 (Apr - Jun),Merchant payments,7331352,2671155681
Madhya Pradesh,2019,Q2 (Apr - Jun),Financial Services,149197,18869661
Madhya Pradesh,2019,Q2 (Apr - Jun),Others,451751,313802065
Maharashtra,2019,Q2 (Apr - Jun),Peer-to-peer payments,42546317,130558153687
Maharashtra,2019,Q2 (Apr - Jun),Recharge & bill payments,29395661,12197234771
Maharashtra,2019,Q2 (Apr - Jun),Merchant payments,27854042,9728561726
Maharashtra,2019,Q2 (Apr - Jun),Financial Services,182840,45291636
Maharashtra,2019,Q2 (Apr - Jun),Others,1170993,765228265
Manipur,2019,Q2 (Apr - Jun),Peer-to-peer payments,120153,679785849
Manipur,2019,Q2 (Apr - Jun),Recharge & bill payments,116500,23573234
Manipur,2019,Q2 (Apr - Jun),Merchant payments,18044,15996651
Manipur,2019,Q2 (Apr - Jun),Financial Services,387,91955
Manipur,2019,Q2 (Apr - Jun),Others,2341,3342252
Meghalaya,2019,Q2 (Apr - Jun),Recharge & bill payments,108812,27248605
Meghalaya,2019,Q2 (Apr - Jun),Peer-to-peer payments,97407,446537199
Meghalaya,2019,Q2 (Apr - Jun),Merchant payments,22588,15600927
Meghalaya,2019,Q2 (Apr - Jun),Financial Services,460,106800
Meghalaya,2019,Q2 (Apr - Jun),Others,3019,3437756
Mizoram,2019,Q2 (Apr - Jun),Peer-to-peer payments,37364,233471780
Mizoram,2019,Q2 (Apr - Jun),Recharge & bill payments,31903,7823562
Mizoram,2019,Q2 (Apr - Jun),Merchant payments,5646,5889316
Mizoram,2019,Q2 (Apr - Jun),Financial Services,80,14455
Mizoram,2019,Q2 (Apr - Jun),Others,678,817593
Nagaland,2019,Q2 (Apr - Jun),Recharge & bill payments,92492,21350211
Nagaland,2019,Q2 (Apr - Jun),Peer-to-peer payments,81065,487705354
Nagaland,2019,Q2 (Apr - Jun),Merchant payments,12949,8990954
Nagaland,2019,Q2 (Apr - Jun),Financial Services,286,129758
Nagaland,2019,Q2 (Apr - Jun),Others,1961,1890404
Odisha,2019,Q2 (Apr - Jun),Peer-to-peer payments,16455353,41423292021
Odisha,2019,Q2 (Apr - Jun),Recharge & bill payments,7845252,1506620072
Odisha,2019,Q2 (Apr - Jun),Merchant payments,4827067,1664621261
Odisha,2019,Q2 (Apr - Jun),Financial Services,202705,20424212
Odisha,2019,Q2 (Apr - Jun),Others,181647,139897303
Puducherry,2019,Q2 (Apr - Jun),Peer-to-peer payments,331248,1109343371
Puducherry,2019,Q2 (Apr - Jun),Recharge & bill payments,147585,46876569
Puducherry,2019,Q2 (Apr - Jun),Merchant payments,92941,49963601
Puducherry,2019,Q2 (Apr - Jun),Financial Services,1524,469351
Puducherry,2019,Q2 (Apr - Jun),Others,6779,4794015
Punjab,2019,Q2 (Apr - Jun),Peer-to-peer payments,4140474,16258891447
Punjab,2019,Q2 (Apr - Jun),Recharge & bill payments,2815047,1440058991
Punjab,2019,Q2 (Apr - Jun),Merchant payments,1407963,815090878
Punjab,2019,Q2 (Apr - Jun),Financial Services,37435,6876144
Punjab,2019,Q2 (Apr - Jun),Others,108911,93875933
Rajasthan,2019,Q2 (Apr - Jun),Peer-to-peer payments,25257679,79466464089
Rajasthan,2019,Q2 (Apr - Jun),Recharge & bill payments,14968290,5709279550
Rajasthan,2019,Q2 (Apr - Jun),Merchant payments,9026751,3435472167
Rajasthan,2019,Q2 (Apr - Jun),Financial Services,182685,34134486
Rajasthan,2019,Q2 (Apr - Jun),Others,573881,461962878
Sikkim,2019,Q2 (Apr - Jun),Peer-to-peer payments,172125,674044301
Sikkim,2019,Q2 (Apr - Jun),Recharge & bill payments,142582,32535297
Sikkim,2019,Q2 (Apr - Jun),Merchant payments,66722,28248001
Sikkim,2019,Q2 (Apr - Jun),Financial Services,2294,310197
Sikkim,2019,Q2 (Apr - Jun),Others,4521,3756445
Tamil Nadu,2019,Q2 (Apr - Jun),Peer-to-peer payments,16952961,57924128549
Tamil Nadu,2019,Q2 (Apr - Jun),Recharge & bill payments,8414514,3280033639
Tamil Nadu,2019,Q2 (Apr - Jun),Merchant payments,6296995,2690331792
Tamil Nadu,2019,Q2 (Apr - Jun),Financial Services,70142,18334602
Tamil Nadu,2019,Q2 (Apr - Jun),Others,437125,294847441
Telangana,2019,Q2 (Apr - Jun),Peer-to-peer payments,46741594,141095702899
Telangana,2019,Q2 (Apr - Jun),Merchant payments,25682382,8442740781
Telangana,2019,Q2 (Apr - Jun),Recharge & bill payments,16225017,5603477828
Telangana,2019,Q2 (Apr - Jun),Financial Services,252173,43627344
Telangana,2019,Q2 (Apr - Jun),Others,709213,490894328
Tripura,2019,Q2 (Apr - Jun),Peer-to-peer payments,240776,751113516
Tripura,2019,Q2 (Apr - Jun),Recharge & bill payments,218649,48989430
Tripura,2019,Q2 (Apr - Jun),Merchant payments,64829,35275706
Tripura,2019,Q2 (Apr - Jun),Financial Services,1899,339184
Tripura,2019,Q2 (Apr - Jun),Others,6405,6103644
Uttar Pradesh,2019,Q2 (Apr - Jun),Peer-to-peer payments,27105049,87581482658
Uttar Pradesh,2019,Q2 (Apr - Jun),Recharge & bill payments,17551537,5627886175
Uttar Pradesh,2019,Q2 (Apr - Jun),Merchant payments,12733089,4894223107
Uttar Pradesh,2019,Q2 (Apr - Jun),Financial Services,264091,38169259
Uttar Pradesh,2019,Q2 (Apr - Jun),Others,1229734,775758168
Uttarakhand,2019,Q2 (Apr - Jun),Peer-to-peer payments,2383662,7752954670
Uttarakhand,2019,Q2 (Apr - Jun),Recharge & bill payments,1616176,454962951
Uttarakhand,2019,Q2 (Apr - Jun),Merchant payments,721858,323876953
Uttarakhand,2019,Q2 (Apr - Jun),Financial Services,21852,2550386
Uttarakhand,2019,Q2 (Apr - Jun),Others,69727,54187888
West Bengal,2019,Q2 (Apr - Jun),Peer-to-peer payments,20285958,48394974398
West Bengal,2019,Q2 (Apr - Jun),Merchant payments,13646142,4657258459
West Bengal,2019,Q2 (Apr - Jun),Recharge & bill payments,12129638,3676123279
West Bengal,2019,Q2 (Apr - Jun),Financial Services,421037,45646046
West Bengal,2019,Q2 (Apr - Jun),Others,540760,331688935
Andaman & Nicobar,2019,Q3 (Jul - Sep),Recharge & bill payments,16219,8171737
Andaman & Nicobar,2019,Q3 (Jul - Sep),Peer-to-peer payments,13767,101079821
Andaman & Nicobar,2019,Q3 (Jul - Sep),Merchant payments,3519,4428734
Andaman & Nicobar,2019,Q3 (Jul - Sep),Financial Services,50,158857
Andaman & Nicobar,2019,Q3 (Jul - Sep),Others,215,232624
Andhra Pradesh,2019,Q3 (Jul - Sep),Peer-to-peer payments,39023491,124338645329
Andhra Pradesh,2019,Q3 (Jul - Sep),Recharge & bill payments,20147629,6893984676
Andhra Pradesh,2019,Q3 (Jul - Sep),Merchant payments,16581787,7887394038
Andhra Pradesh,2019,Q3 (Jul - Sep),Financial Services,122270,29778183
Andhra Pradesh,2019,Q3 (Jul - Sep),Others,413437,298142027
Arunachal Pradesh,2019,Q3 (Jul - Sep),Recharge & bill payments,216228,50946104
Arunachal Pradesh,2019,Q3 (Jul - Sep),Peer-to-peer payments,133484,841037395
Arunachal Pradesh,2019,Q3 (Jul - Sep),Merchant payments,16900,17178248
Arunachal Pradesh,2019,Q3 (Jul - Sep),Financial Services,864,64089
Arunachal Pradesh,2019,Q3 (Jul - Sep),Others,2758,3419197
Assam,2019,Q3 (Jul - Sep),Peer-to-peer payments,2713539,11835800855
Assam,2019,Q3 (Jul - Sep),Recharge & bill payments,2645302,639885372
Assam,2019,Q3 (Jul - Sep),Merchant payments,513728,421380275
Assam,2019,Q3 (Jul - Sep),Financial Services,8606,6403456
Assam,2019,Q3 (Jul - Sep),Others,61396,46973660
Bihar,2019,Q3 (Jul - Sep),Peer-to-peer payments,15446119,61831776093
Bihar,2019,Q3 (Jul - Sep),Recharge & bill payments,9115040,2140566974
Bihar,2019,Q3 (Jul - Sep),Merchant payments,7206001,3413490288
Bihar,2019,Q3 (Jul - Sep),Financial Services,89997,20145460
Bihar,2019,Q3 (Jul - Sep),Others,282743,286804437
Chandigarh,2019,Q3 (Jul - Sep),Peer-to-peer payments,722233,2815184152
Chandigarh,2019,Q3 (Jul - Sep),Merchant payments,447069,226535908
Chandigarh,2019,Q3 (Jul - Sep),Recharge & bill payments,308219,213884900
Chandigarh,2019,Q3 (Jul - Sep),Financial Services,2447,794918
Chandigarh,2019,Q3 (Jul - Sep),Others,26575,13282206
Chhattisgarh,2019,Q3 (Jul - Sep),Peer-to-peer payments,5021844,17584630267
Chhattisgarh,2019,Q3 (Jul - Sep),Recharge & bill payments,4335851,1069468753
Chhattisgarh,2019,Q3 (Jul - Sep),Merchant payments,2772084,1074255588
Chhattisgarh,2019,Q3 (Jul - Sep),Financial Services,16452,4542997
Chhattisgarh,2019,Q3 (Jul - Sep),Others,96880,70361559
Dadra and Nagar Haveli and Daman and Diu,2019,Q3 (Jul - Sep),Recharge & bill payments,319142,104597035
Dadra and Nagar Haveli and Daman and Diu,2019,Q3 (Jul - Sep),Peer-to-peer payments,249944,821178569
Dadra and Nagar Haveli and Daman and Diu,2019,Q3 (Jul - Sep),Merchant payments,63616,30634658
Dadra and Nagar Haveli and Daman and Diu,2019,Q3 (Jul - Sep),Financial Services,533,425044
Dadra and Nagar Haveli and Daman and Diu,2019,Q3 (Jul - Sep),Others,5516,4636167
Delhi,2019,Q3 (Jul - Sep),Merchant payments,29453368,9857221391
Delhi,2019,Q3 (Jul - Sep),Peer-to-peer payments,25201978,81904443496
Delhi,2019,Q3 (Jul - Sep),Recharge & bill payments,11133404,10406524192
Delhi,2019,Q3 (Jul - Sep),Financial Services,92061,27952186
Delhi,2019,Q3 (Jul - Sep),Others,3657065,1000670778
Goa,2019,Q3 (Jul - Sep),Peer-to-peer payments,475178,1704668027
Goa,2019,Q3 (Jul - Sep),Recharge & bill payments,453806,157952854
Goa,2019,Q3 (Jul - Sep),Merchant payments,150578,123948570
Goa,2019,Q3 (Jul - Sep),Financial Services,1510,1282344
Goa,2019,Q3 (Jul - Sep),Others,11344,12515394
Gujarat,2019,Q3 (Jul - Sep),Peer-to-peer payments,14529353,49206585462
Gujarat,2019,Q3 (Jul - Sep),Merchant payments,11788077,4211116461
Gujarat,2019,Q3 (Jul - Sep),Recharge & bill payments,11349625,5768100024
Gujarat,2019,Q3 (Jul - Sep),Financial Services,78609,20507001
Gujarat,2019,Q3 (Jul - Sep),Others,482985,256386015
Haryana,2019,Q3 (Jul - Sep),Peer-to-peer payments,11775288,43738290119
Haryana,2019,Q3 (Jul - Sep),Merchant payments,9386779,3615636827
Haryana,2019,Q3 (Jul - Sep),Recharge & bill payments,8289987,4817098564
Haryana,2019,Q3 (Jul - Sep),Financial Services,61503,16715100
Haryana,2019,Q3 (Jul - Sep),Others,829974,301378585
Himachal Pradesh,2019,Q3 (Jul - Sep),Recharge & bill payments,1212659,327570066
Himachal Pradesh,2019,Q3 (Jul - Sep),Peer-to-peer payments,1181680,5039276845
Himachal Pradesh,2019,Q3 (Jul - Sep),Merchant payments,312575,182746198
Himachal Pradesh,2019,Q3 (Jul - Sep),Financial Services,3096,1775673
Himachal Pradesh,2019,Q3 (Jul - Sep),Others,25170,20649996
Jammu & Kashmir,2019,Q3 (Jul - Sep),Peer-to-peer payments,618694,3499425217
Jammu & Kashmir,2019,Q3 (Jul - Sep),Recharge & bill payments,318061,111964437
Jammu & Kashmir,2019,Q3 (Jul - Sep),Merchant payments,165115,120736230
Jammu & Kashmir,2019,Q3 (Jul - Sep),Financial Services,2895,658515
Jammu & Kashmir,2019,Q3 (Jul - Sep),Others,11761,11446090
Jharkhand,2019,Q3 (Jul - Sep),Peer-to-peer payments,5708187,19050145624
Jharkhand,2019,Q3 (Jul - Sep),Merchant payments,4766457,1494546030
Jharkhand,2019,Q3 (Jul - Sep),Recharge & bill payments,3527625,754845093
Jharkhand,2019,Q3 (Jul - Sep),Financial Services,103620,80276391
Jharkhand,2019,Q3 (Jul - Sep),Others,114758,86160853
Karnataka,2019,Q3 (Jul - Sep),Merchant payments,76924325,20375791901
Karnataka,2019,Q3 (Jul - Sep),Peer-to-peer payments,67784880,183163325083
Karnataka,2019,Q3 (Jul - Sep),Recharge & bill payments,24339891,10208179941
