State,Year,Quarter,Transaction_type,Total_transaction,Transaction_amount
Jharkhand,2018,Q1 (Jan - Mar),Recharge & bill payments,1095857,132181815
Jharkhand,2018,Q1 (Jan - Mar),Peer-to-peer payments,809459,2036315435
Jharkhand,2018,Q1 (Jan - Mar),Financial Services,107755,45483178
Jharkhand,2018,Q1 (Jan - Mar),Merchant payments,66299,66465337
Jharkhand,2018,Q1 (Jan - Mar),Others,99551,93740623
Karnataka,2018,Q1 (Jan - Mar),Recharge & bill payments,5785292,1496816541
Karnataka,2018,Q1 (Jan - Mar),Peer-to-peer payments,4456528,16522277460
Karnataka,2018,Q1 (Jan - Mar),Merchant payments,1089627,696586489
Karnataka,2018,Q1 (Jan - Mar),Financial Services,159848,52664837
Karnataka,2018,Q1 (Jan - Mar),Others,525604,449549985
Kerala,2018,Q1 (Jan - Mar),Recharge & bill payments,988774,157311821
Kerala,2018,Q1 (Jan - Mar),Peer-to-peer payments,600205,2107288314
Kerala,2018,Q1 (Jan - Mar),Merchant payments,72164,82919383
Kerala,2018,Q1 (Jan - Mar),Financial Services,40170,7957491
Kerala,2018,Q1 (Jan - Mar),Others,70067,47197742
Ladakh,2018,Q1 (Jan - Mar),Recharge & bill payments,3550,927250
Ladakh,2018,Q1 (Jan - Mar),Peer-to-peer payments,1752,10767803
Ladakh,2018,Q1 (Jan - Mar),Merchant payments,320,369327
Ladakh,2018,Q1 (Jan - Mar),Financial Services,132,274283
Ladakh,2018,Q1 (Jan - Mar),Others,335,194192
Lakshadweep,2018,Q1 (Jan - Mar),Peer-to-peer payments,423,1860278
Lakshadweep,2018,Q1 (Jan - Mar),Recharge & bill payments,342,61432
Lakshadweep,2018,Q1 (Jan - Mar),Merchant payments,5,590
Lakshadweep,2018,Q1 (Jan - Mar),Others,8,6310
Madhya Pradesh,2018,Q1 (Jan - Mar),Recharge & bill payments,4404190,667057311
Madhya Pradesh,2018,Q1 (Jan - Mar),Peer-to-peer payments,2848290,7590790588
Madhya Pradesh,2018,Q1 (Jan - Mar),Financial Services,230519,43374288
Madhya Pradesh,2018,Q1 (Jan - Mar),Merchant payments,196394,170119673
Madhya Pradesh,2018,Q1 (Jan - Mar),Others,346002,210261540
Maharashtra,2018,Q1 (Jan - Mar),Recharge & bill payments,9670237,2283567431
Maharashtra,2018,Q1 (Jan - Mar),Peer-to-peer payments,5227770,18283896464
Maharashtra,2018,Q1 (Jan - Mar),Merchant payments,616779,576964070
Maharashtra,2018,Q1 (Jan - Mar),Financial Services,235051,60997258
Maharashtra,2018,Q1 (Jan - Mar),Others,637197,506188032
Manipur,2018,Q1 (Jan - Mar),Recharge & bill payments,50212,6463184
Manipur,2018,Q1 (Jan - Mar),Peer-to-peer payments,26382,115495173
Manipur,2018,Q1 (Jan - Mar),Financial Services,2660,412579
Manipur,2018,Q1 (Jan - Mar),Merchant payments,1614,3616475
Manipur,2018,Q1 (Jan - Mar),Others,3201,2058760
Meghalaya,2018,Q1 (Jan - Mar),Recharge & bill payments,31857,6028476
Meghalaya,2018,Q1 (Jan - Mar),Peer-to-peer payments,13274,55943496
Meghalaya,2018,Q1 (Jan - Mar),Merchant payments,1605,2395888
Meghalaya,2018,Q1 (Jan - Mar),Financial Services,532,144318
Meghalaya,2018,Q1 (Jan - Mar),Others,2303,1738080
Mizoram,2018,Q1 (Jan - Mar),Recharge & bill payments,10155,2199565
Mizoram,2018,Q1 (Jan - Mar),Peer-to-peer payments,6845,41186717
Mizoram,2018,Q1 (Jan - Mar),Merchant payments,616,1066002
Mizoram,2018,Q1 (Jan - Mar),Financial Services,260,65022
Mizoram,2018,Q1 (Jan - Mar),Others,685,709912
Nagaland,2018,Q1 (Jan - Mar),Recharge & bill payments,28198,5361675
Nagaland,2018,Q1 (Jan - Mar),Peer-to-peer payments,11631,69830122
Nagaland,2018,Q1 (Jan - Mar),Merchant payments,822,1170667
Nagaland,2018,Q1 (Jan - Mar),Financial Services,399,299016
Nagaland,2018,Q1 (Jan - Mar),Others,1795,1344409
