State,District,Year,Quarter,Register
Andaman & Nicobar,south andaman,2018,Q1 (Jan - Mar),5846
Andaman & Nicobar,north and middle andaman,2018,Q1 (Jan - Mar),632
Andaman & Nicobar,nicobars,2018,Q1 (Jan - Mar),262
Andhra Pradesh,visakhapatnam,2018,Q1 (Jan - Mar),497187
Andhra Pradesh,east godavari,2018,Q1 (Jan - Mar),350356
Andhra Pradesh,krishna,2018,Q1 (Jan - Mar),323673
Andhra Pradesh,guntur,2018,Q1 (Jan - Mar),317065
Andhra Pradesh,chittoor,2018,Q1 (Jan - Mar),309541
Andhra Pradesh,anantapur,2018,Q1 (Jan - Mar),241192
Andhra Pradesh,kurnool,2018,Q1 (Jan - Mar),240133
Andhra Pradesh,west godavari,2018,Q1 (Jan - Mar),213335
Andhra Pradesh,spsr nellore,2018,Q1 (Jan - Mar),194475
Andhra Pradesh,prakasam,2018,Q1 (Jan - Mar),189949
Arunachal Pradesh,papum pare,2018,Q1 (Jan - Mar),7649
Arunachal Pradesh,west kameng,2018,Q1 (Jan - Mar),2202
Arunachal Pradesh,east siang,2018,Q1 (Jan - Mar),1803
Arunachal Pradesh,tawang,2018,Q1 (Jan - Mar),1525
Arunachal Pradesh,changlang,2018,Q1 (Jan - Mar),1208
Arunachal Pradesh,lohit,2018,Q1 (Jan - Mar),1207
Arunachal Pradesh,west siang,2018,Q1 (Jan - Mar),846
Arunachal Pradesh,namsai,2018,Q1 (Jan - Mar),737
Arunachal Pradesh,lower dibang valley,2018,Q1 (Jan - Mar),601
Arunachal Pradesh,upper subansiri,2018,Q1 (Jan - Mar),572
Assam,kamrup metropolitan,2018,Q1 (Jan - Mar),87336
Assam,dibrugarh,2018,Q1 (Jan - Mar),21182
Assam,barpeta,2018,Q1 (Jan - Mar),20485
Assam,nagaon,2018,Q1 (Jan - Mar),19619
Assam,cachar,2018,Q1 (Jan - Mar),19567
Assam,sonitpur,2018,Q1 (Jan - Mar),18986
Assam,jorhat,2018,Q1 (Jan - Mar),16442
Assam,tinsukia,2018,Q1 (Jan - Mar),15998
Assam,kamrup,2018,Q1 (Jan - Mar),15241
Assam,dhubri,2018,Q1 (Jan - Mar),11421
Bihar,patna,2018,Q1 (Jan - Mar),425009
Bihar,muzaffarpur,2018,Q1 (Jan - Mar),125298
Bihar,gaya,2018,Q1 (Jan - Mar),91015
Bihar,purbi champaran,2018,Q1 (Jan - Mar),87561
Bihar,samastipur,2018,Q1 (Jan - Mar),76068
Bihar,bhagalpur,2018,Q1 (Jan - Mar),76063
Bihar,nalanda,2018,Q1 (Jan - Mar),75201
Bihar,darbhanga,2018,Q1 (Jan - Mar),74414
Bihar,vaishali,2018,Q1 (Jan - Mar),67921
Bihar,pashchim champaran,2018,Q1 (Jan - Mar),67656
Chandigarh,chandigarh,2018,Q1 (Jan - Mar),86268
Chhattisgarh,raipur,2018,Q1 (Jan - Mar),135308
Chhattisgarh,durg,2018,Q1 (Jan - Mar),91516
Chhattisgarh,bilaspur,2018,Q1 (Jan - Mar),68704
Chhattisgarh,raigarh,2018,Q1 (Jan - Mar),51628
Chhattisgarh,janjgir champa,2018,Q1 (Jan - Mar),42297
Chhattisgarh,korba,2018,Q1 (Jan - Mar),39075
Chhattisgarh,rajnandgaon,2018,Q1 (Jan - Mar),26295
Chhattisgarh,surguja,2018,Q1 (Jan - Mar),22001
Chhattisgarh,baloda bazar,2018,Q1 (Jan - Mar),21747
Chhattisgarh,mahasamund,2018,Q1 (Jan - Mar),19608
Dadra and Nagar Haveli and Daman and Diu,dadra and nagar haveli,2018,Q1 (Jan - Mar),32028
Dadra and Nagar Haveli and Daman and Diu,daman,2018,Q1 (Jan - Mar),18677
Dadra and Nagar Haveli and Daman and Diu,diu,2018,Q1 (Jan - Mar),2553
Delhi,west,2018,Q1 (Jan - Mar),308558
Delhi,south east delhi,2018,Q1 (Jan - Mar),251213
Delhi,north west,2018,Q1 (Jan - Mar),223679
Delhi,new delhi,2018,Q1 (Jan - Mar),212008
Delhi,central delhi,2018,Q1 (Jan - Mar),202723
Delhi,south west,2018,Q1 (Jan - Mar),179197
Delhi,north,2018,Q1 (Jan - Mar),173622
Delhi,east,2018,Q1 (Jan - Mar),169295
Delhi,south,2018,Q1 (Jan - Mar),156706
Delhi,shahdara,2018,Q1 (Jan - Mar),114549
Goa,north goa,2018,Q1 (Jan - Mar),57769
Goa,south goa,2018,Q1 (Jan - Mar),34167
Gujarat,ahmadabad,2018,Q1 (Jan - Mar),572811
Gujarat,surat,2018,Q1 (Jan - Mar),489852
Gujarat,vadodara,2018,Q1 (Jan - Mar),205722
Gujarat,rajkot,2018,Q1 (Jan - Mar),133017
Gujarat,gandhinagar,2018,Q1 (Jan - Mar),118201
Gujarat,bharuch,2018,Q1 (Jan - Mar),101575
Gujarat,kachchh,2018,Q1 (Jan - Mar),97838
Gujarat,mahesana,2018,Q1 (Jan - Mar),97004
Gujarat,banas kantha,2018,Q1 (Jan - Mar),93506
Gujarat,bhavnagar,2018,Q1 (Jan - Mar),87683
Haryana,gurugram,2018,Q1 (Jan - Mar),474081
Haryana,faridabad,2018,Q1 (Jan - Mar),231504
Haryana,hisar,2018,Q1 (Jan - Mar),113872
Haryana,rewari,2018,Q1 (Jan - Mar),85350
Haryana,sonipat,2018,Q1 (Jan - Mar),79638
Haryana,panipat,2018,Q1 (Jan - Mar),74739
Haryana,karnal,2018,Q1 (Jan - Mar),73612
Haryana,sirsa,2018,Q1 (Jan - Mar),70800
Haryana,rohtak,2018,Q1 (Jan - Mar),62452
Haryana,bhiwani,2018,Q1 (Jan - Mar),57585
Himachal Pradesh,solan,2018,Q1 (Jan - Mar),50035
Himachal Pradesh,kangra,2018,Q1 (Jan - Mar),39016
Himachal Pradesh,shimla,2018,Q1 (Jan - Mar),28214
Himachal Pradesh,mandi,2018,Q1 (Jan - Mar),26238
Himachal Pradesh,sirmaur,2018,Q1 (Jan - Mar),15880
Himachal Pradesh,hamirpur,2018,Q1 (Jan - Mar),15614
Himachal Pradesh,kullu,2018,Q1 (Jan - Mar),15318
Himachal Pradesh,una,2018,Q1 (Jan - Mar),13234
Himachal Pradesh,bilaspur,2018,Q1 (Jan - Mar),11975
Himachal Pradesh,chamba,2018,Q1 (Jan - Mar),8678
Jammu & Kashmir,jammu,2018,Q1 (Jan - Mar),45294
Jammu & Kashmir,srinagar,2018,Q1 (Jan - Mar),18233
Jammu & Kashmir,baramulla,2018,Q1 (Jan - Mar),16299
Jammu & Kashmir,budgam,2018,Q1 (Jan - Mar),11594
Jammu & Kashmir,anantnag,2018,Q1 (Jan - Mar),11556
Jammu & Kashmir,udhampur,2018,Q1 (Jan - Mar),8457
Jammu & Kashmir,pulwama,2018,Q1 (Jan - Mar),8441
Jammu & Kashmir,kathua,2018,Q1 (Jan - Mar),8039
Jammu & Kashmir,kupwara,2018,Q1 (Jan - Mar),7254
Jammu & Kashmir,samba,2018,Q1 (Jan - Mar),6534
Jharkhand,ranchi,2018,Q1 (Jan - Mar),159444
Jharkhand,dhanbad,2018,Q1 (Jan - Mar),130195
Jharkhand,east singhbhum,2018,Q1 (Jan - Mar),103016
Jharkhand,bokaro,2018,Q1 (Jan - Mar),101673
Jharkhand,hazaribagh,2018,Q1 (Jan - Mar),56421
Jharkhand,giridih,2018,Q1 (Jan - Mar),45940
Jharkhand,ramgarh,2018,Q1 (Jan - Mar),37875
Jharkhand,deoghar,2018,Q1 (Jan - Mar),35229
Jharkhand,palamu,2018,Q1 (Jan - Mar),31788
Jharkhand,saraikela kharsawan,2018,Q1 (Jan - Mar),31177
Karnataka,bengaluru urban,2018,Q1 (Jan - Mar),1922368
Karnataka,mysuru,2018,Q1 (Jan - Mar),150799
Karnataka,belagavi,2018,Q1 (Jan - Mar),140320
Karnataka,dharwad,2018,Q1 (Jan - Mar),106877
Karnataka,ballari,2018,Q1 (Jan - Mar),103566
Karnataka,bengaluru rural,2018,Q1 (Jan - Mar),87955
Karnataka,dakshina kannada,2018,Q1 (Jan - Mar),87491
Karnataka,tumakuru,2018,Q1 (Jan - Mar),82955
Karnataka,kalaburagi,2018,Q1 (Jan - Mar),81933
Karnataka,vijayapura,2018,Q1 (Jan - Mar),68814
Kerala,ernakulam,2018,Q1 (Jan - Mar),159188
Kerala,malappuram,2018,Q1 (Jan - Mar),86063
Kerala,kozhikode,2018,Q1 (Jan - Mar),83422
Kerala,thiruvananthapuram,2018,Q1 (Jan - Mar),81846
Kerala,thrissur,2018,Q1 (Jan - Mar),67247
Kerala,kannur,2018,Q1 (Jan - Mar),54093
Kerala,palakkad,2018,Q1 (Jan - Mar),51507
Kerala,kottayam,2018,Q1 (Jan - Mar),43142
Kerala,kollam,2018,Q1 (Jan - Mar),41946
Kerala,alappuzha,2018,Q1 (Jan - Mar),39275
Ladakh,leh ladakh,2018,Q1 (Jan - Mar),7255
Ladakh,kargil,2018,Q1 (Jan - Mar),1529
Lakshadweep,lakshadweep,2018,Q1 (Jan - Mar),501
Madhya Pradesh,indore,2018,Q1 (Jan - Mar),366977
Madhya Pradesh,bhopal,2018,Q1 (Jan - Mar),307312
Madhya Pradesh,gwalior,2018,Q1 (Jan - Mar),142453
Madhya Pradesh,jabalpur,2018,Q1 (Jan - Mar),115953
Madhya Pradesh,ujjain,2018,Q1 (Jan - Mar),84441
Madhya Pradesh,rewa,2018,Q1 (Jan - Mar),73336
Madhya Pradesh,sagar,2018,Q1 (Jan - Mar),72857
Madhya Pradesh,chhindwara,2018,Q1 (Jan - Mar),65005
Madhya Pradesh,dhar,2018,Q1 (Jan - Mar),63440
Madhya Pradesh,dewas,2018,Q1 (Jan - Mar),62902
Maharashtra,pune,2018,Q1 (Jan - Mar),1211643
Maharashtra,mumbai suburban,2018,Q1 (Jan - Mar),719300
Maharashtra,thane,2018,Q1 (Jan - Mar),631864
Maharashtra,nashik,2018,Q1 (Jan - Mar),321402
Maharashtra,nagpur,2018,Q1 (Jan - Mar),280007
Maharashtra,aurangabad,2018,Q1 (Jan - Mar),266324
Maharashtra,mumbai,2018,Q1 (Jan - Mar),233538
Maharashtra,ahmednagar,2018,Q1 (Jan - Mar),197473
Maharashtra,solapur,2018,Q1 (Jan - Mar),190033
Maharashtra,raigad,2018,Q1 (Jan - Mar),173015
Manipur,imphal west,2018,Q1 (Jan - Mar),11304
Manipur,imphal east,2018,Q1 (Jan - Mar),6759
Manipur,thoubal,2018,Q1 (Jan - Mar),2764
Manipur,bishnupur,2018,Q1 (Jan - Mar),2371
Manipur,churachandpur,2018,Q1 (Jan - Mar),1524
Manipur,kangpokpi,2018,Q1 (Jan - Mar),1439
Manipur,kakching,2018,Q1 (Jan - Mar),915
Manipur,ukhrul,2018,Q1 (Jan - Mar),602
Manipur,tamenglong,2018,Q1 (Jan - Mar),550
Manipur,jiribam,2018,Q1 (Jan - Mar),460
Meghalaya,east khasi hills,2018,Q1 (Jan - Mar),9310
Meghalaya,west garo hills,2018,Q1 (Jan - Mar),3671
Meghalaya,ribhoi,2018,Q1 (Jan - Mar),1891
Meghalaya,east jaintia hills,2018,Q1 (Jan - Mar),1419
Meghalaya,west jaintia hills,2018,Q1 (Jan - Mar),736
Meghalaya,south garo hills,2018,Q1 (Jan - Mar),343
Meghalaya,south west garo hills,2018,Q1 (Jan - Mar),299
Meghalaya,west khasi hills,2018,Q1 (Jan - Mar),299
Meghalaya,north garo hills,2018,Q1 (Jan - Mar),254
Meghalaya,east garo hills,2018,Q1 (Jan - Mar),236
Mizoram,aizawl,2018,Q1 (Jan - Mar),4550
Mizoram,lunglei,2018,Q1 (Jan - Mar),879
Mizoram,kolasib,2018,Q1 (Jan - Mar),486
Mizoram,lawngtlai,2018,Q1 (Jan - Mar),474
Mizoram,champhai,2018,Q1 (Jan - Mar),358
Mizoram,mamit,2018,Q1 (Jan - Mar),316
Mizoram,serchhip,2018,Q1 (Jan - Mar),299
Mizoram,saiha,2018,Q1 (Jan - Mar),231
Nagaland,dimapur,2018,Q1 (Jan - Mar),8249
Nagaland,kohima,2018,Q1 (Jan - Mar),3036
Nagaland,mokokchung,2018,Q1 (Jan - Mar),1043
Nagaland,mon,2018,Q1 (Jan - Mar),525
Nagaland,phek,2018,Q1 (Jan - Mar),487
Nagaland,wokha,2018,Q1 (Jan - Mar),465
Nagaland,zunheboto,2018,Q1 (Jan - Mar),385
Nagaland,tuensang,2018,Q1 (Jan - Mar),377
Nagaland,peren,2018,Q1 (Jan - Mar),218
Nagaland,kiphire,2018,Q1 (Jan - Mar),168
Odisha,khordha,2018,Q1 (Jan - Mar),308390
Odisha,cuttack,2018,Q1 (Jan - Mar),135972
Odisha,ganjam,2018,Q1 (Jan - Mar),126158
Odisha,baleshwar,2018,Q1 (Jan - Mar),100919
Odisha,jajapur,2018,Q1 (Jan - Mar),81133
Odisha,sundargarh,2018,Q1 (Jan - Mar),75201
Odisha,puri,2018,Q1 (Jan - Mar),69923
Odisha,kendujhar,2018,Q1 (Jan - Mar),58968
Odisha,bhadrak,2018,Q1 (Jan - Mar),58050
Odisha,anugul,2018,Q1 (Jan - Mar),56617
Puducherry,puducherry,2018,Q1 (Jan - Mar),42117
Puducherry,karaikal,2018,Q1 (Jan - Mar),3628
Puducherry,yanam,2018,Q1 (Jan - Mar),2500
Puducherry,mahe,2018,Q1 (Jan - Mar),1073
Punjab,ludhiana,2018,Q1 (Jan - Mar),168625
Punjab,sas nagar,2018,Q1 (Jan - Mar),121113
Punjab,patiala,2018,Q1 (Jan - Mar),66507
Punjab,amritsar,2018,Q1 (Jan - Mar),59685
Punjab,jalandhar,2018,Q1 (Jan - Mar),57808
Punjab,bathinda,2018,Q1 (Jan - Mar),52466
Punjab,fazilka,2018,Q1 (Jan - Mar),44823
Punjab,sangrur,2018,Q1 (Jan - Mar),37485
Punjab,hoshiarpur,2018,Q1 (Jan - Mar),25348
Punjab,gurdaspur,2018,Q1 (Jan - Mar),21372
Rajasthan,jaipur,2018,Q1 (Jan - Mar),900773
Rajasthan,alwar,2018,Q1 (Jan - Mar),203096
Rajasthan,jodhpur,2018,Q1 (Jan - Mar),172648
Rajasthan,kota,2018,Q1 (Jan - Mar),141411
Rajasthan,sikar,2018,Q1 (Jan - Mar),133983
Rajasthan,ajmer,2018,Q1 (Jan - Mar),118458
Rajasthan,udaipur,2018,Q1 (Jan - Mar),111919
Rajasthan,bhilwara,2018,Q1 (Jan - Mar),111753
Rajasthan,nagaur,2018,Q1 (Jan - Mar),101581
Rajasthan,jhunjhunu,2018,Q1 (Jan - Mar),98912
Sikkim,east,2018,Q1 (Jan - Mar),12749
Sikkim,south,2018,Q1 (Jan - Mar),3679
Sikkim,west,2018,Q1 (Jan - Mar),2048
Sikkim,north,2018,Q1 (Jan - Mar),1575
Tamil Nadu,chennai,2018,Q1 (Jan - Mar),292004
Tamil Nadu,thiruvallur,2018,Q1 (Jan - Mar),215622
Tamil Nadu,chengalpattu,2018,Q1 (Jan - Mar),215210
Tamil Nadu,coimbatore,2018,Q1 (Jan - Mar),170306
Tamil Nadu,kancheepuram,2018,Q1 (Jan - Mar),136352
Tamil Nadu,salem,2018,Q1 (Jan - Mar),88288
Tamil Nadu,tiruppur,2018,Q1 (Jan - Mar),87652
Tamil Nadu,madurai,2018,Q1 (Jan - Mar),72582
Tamil Nadu,krishnagiri,2018,Q1 (Jan - Mar),66958
Tamil Nadu,tiruchirappalli,2018,Q1 (Jan - Mar),62230
Telangana,hyderabad,2018,Q1 (Jan - Mar),655175
Telangana,rangareddy,2018,Q1 (Jan - Mar),635175
Telangana,medchal malkajgiri,2018,Q1 (Jan - Mar),549429
Telangana,sangareddy,2018,Q1 (Jan - Mar),142807
Telangana,warangal urban,2018,Q1 (Jan - Mar),133840
Telangana,karimnagar,2018,Q1 (Jan - Mar),100028
Telangana,khammam,2018,Q1 (Jan - Mar),84941
Telangana,nalgonda,2018,Q1 (Jan - Mar),84459
Telangana,nizamabad,2018,Q1 (Jan - Mar),77516
Telangana,peddapalle,2018,Q1 (Jan - Mar),67418
Tripura,west tripura,2018,Q1 (Jan - Mar),27242
Tripura,south tripura,2018,Q1 (Jan - Mar),5361
Tripura,sepahijala,2018,Q1 (Jan - Mar),4664
Tripura,gomati,2018,Q1 (Jan - Mar),4509
Tripura,north tripura,2018,Q1 (Jan - Mar),4432
Tripura,dhalai,2018,Q1 (Jan - Mar),3448
Tripura,khowai,2018,Q1 (Jan - Mar),3017
Tripura,unakoti,2018,Q1 (Jan - Mar),2484
Uttar Pradesh,gautam buddha nagar,2018,Q1 (Jan - Mar),448768
Uttar Pradesh,lucknow,2018,Q1 (Jan - Mar),380070
Uttar Pradesh,ghaziabad,2018,Q1 (Jan - Mar),329683
Uttar Pradesh,prayagraj,2018,Q1 (Jan - Mar),220198
Uttar Pradesh,kanpur nagar,2018,Q1 (Jan - Mar),208389
Uttar Pradesh,varanasi,2018,Q1 (Jan - Mar),206788
Uttar Pradesh,agra,2018,Q1 (Jan - Mar),148387
Uttar Pradesh,gorakhpur,2018,Q1 (Jan - Mar),132769
Uttar Pradesh,meerut,2018,Q1 (Jan - Mar),123619
Uttar Pradesh,bareilly,2018,Q1 (Jan - Mar),112369
Uttarakhand,dehradun,2018,Q1 (Jan - Mar),147998
Uttarakhand,haridwar,2018,Q1 (Jan - Mar),104823
Uttarakhand,udham singh nagar,2018,Q1 (Jan - Mar),100236
Uttarakhand,nainital,2018,Q1 (Jan - Mar),49083
Uttarakhand,pauri garhwal,2018,Q1 (Jan - Mar),20425
Uttarakhand,tehri garhwal,2018,Q1 (Jan - Mar),13030
Uttarakhand,almora,2018,Q1 (Jan - Mar),11367
Uttarakhand,pithoragarh,2018,Q1 (Jan - Mar),8836
Uttarakhand,chamoli,2018,Q1 (Jan - Mar),7493
Uttarakhand,uttarkashi,2018,Q1 (Jan - Mar),5816
West Bengal,north twenty four parganas,2018,Q1 (Jan - Mar),396980
West Bengal,kolkata,2018,Q1 (Jan - Mar),306503
West Bengal,murshidabad,2018,Q1 (Jan - Mar),187824
West Bengal,hooghly,2018,Q1 (Jan - Mar),148033
West Bengal,south twenty four parganas,2018,Q1 (Jan - Mar),142473
West Bengal,paschim bardhaman,2018,Q1 (Jan - Mar),139310
West Bengal,howrah,2018,Q1 (Jan - Mar),136589
West Bengal,nadia,2018,Q1 (Jan - Mar),136396
West Bengal,purba medinipur,2018,Q1 (Jan - Mar),131380
West Bengal,paschim medinipur,2018,Q1 (Jan - Mar),127203
Andaman & Nicobar,south andaman,2018,Q2 (Apr - Jun),8143
Andaman & Nicobar,north and middle andaman,2018,Q2 (Apr - Jun),911
Andaman & Nicobar,nicobars,2018,Q2 (Apr - Jun),351
Andhra Pradesh,visakhapatnam,2018,Q2 (Apr - Jun),636052
Andhra Pradesh,east godavari,2018,Q2 (Apr - Jun),454398
Andhra Pradesh,krishna,2018,Q2 (Apr - Jun),431965
Andhra Pradesh,guntur,2018,Q2 (Apr - Jun),420326
Andhra Pradesh,chittoor,2018,Q2 (Apr - Jun),414306
Andhra Pradesh,anantapur,2018,Q2 (Apr - Jun),326383
Andhra Pradesh,kurnool,2018,Q2 (Apr - Jun),319313
Andhra Pradesh,west godavari,2018,Q2 (Apr - Jun),282393
Andhra Pradesh,spsr nellore,2018,Q2 (Apr - Jun),261049
Andhra Pradesh,prakasam,2018,Q2 (Apr - Jun),253458
Arunachal Pradesh,papum pare,2018,Q2 (Apr - Jun),11418
Arunachal Pradesh,west kameng,2018,Q2 (Apr - Jun),3442
Arunachal Pradesh,east siang,2018,Q2 (Apr - Jun),2646
Arunachal Pradesh,tawang,2018,Q2 (Apr - Jun),2266
Arunachal Pradesh,changlang,2018,Q2 (Apr - Jun),2014
Arunachal Pradesh,lohit,2018,Q2 (Apr - Jun),1898
Arunachal Pradesh,namsai,2018,Q2 (Apr - Jun),1276
Arunachal Pradesh,west siang,2018,Q2 (Apr - Jun),1224
Arunachal Pradesh,lower dibang valley,2018,Q2 (Apr - Jun),893
Arunachal Pradesh,upper subansiri,2018,Q2 (Apr - Jun),883
Assam,kamrup metropolitan,2018,Q2 (Apr - Jun),124720
Assam,dibrugarh,2018,Q2 (Apr - Jun),30527
Assam,barpeta,2018,Q2 (Apr - Jun),29882
Assam,nagaon,2018,Q2 (Apr - Jun),29412
Assam,cachar,2018,Q2 (Apr - Jun),29381
Assam,sonitpur,2018,Q2 (Apr - Jun),28409
Assam,tinsukia,2018,Q2 (Apr - Jun),23900
Assam,jorhat,2018,Q2 (Apr - Jun),23683
Assam,kamrup,2018,Q2 (Apr - Jun),23595
Assam,dhubri,2018,Q2 (Apr - Jun),16701
Bihar,patna,2018,Q2 (Apr - Jun),568657
Bihar,muzaffarpur,2018,Q2 (Apr - Jun),172315
Bihar,gaya,2018,Q2 (Apr - Jun),126422
Bihar,purbi champaran,2018,Q2 (Apr - Jun),125890
Bihar,samastipur,2018,Q2 (Apr - Jun),107143
Bihar,bhagalpur,2018,Q2 (Apr - Jun),106461
Bihar,darbhanga,2018,Q2 (Apr - Jun),105558
Bihar,nalanda,2018,Q2 (Apr - Jun),104076
Bihar,pashchim champaran,2018,Q2 (Apr - Jun),97301
Bihar,vaishali,2018,Q2 (Apr - Jun),96694
Chandigarh,chandigarh,2018,Q2 (Apr - Jun),115219
Chhattisgarh,raipur,2018,Q2 (Apr - Jun),185747
Chhattisgarh,durg,2018,Q2 (Apr - Jun),124515
Chhattisgarh,bilaspur,2018,Q2 (Apr - Jun),94888
Chhattisgarh,raigarh,2018,Q2 (Apr - Jun),70970
Chhattisgarh,janjgir champa,2018,Q2 (Apr - Jun),60185
Chhattisgarh,korba,2018,Q2 (Apr - Jun),54105
Chhattisgarh,rajnandgaon,2018,Q2 (Apr - Jun),38120
Chhattisgarh,baloda bazar,2018,Q2 (Apr - Jun),32314
Chhattisgarh,surguja,2018,Q2 (Apr - Jun),30374
Chhattisgarh,mahasamund,2018,Q2 (Apr - Jun),28208
Dadra and Nagar Haveli and Daman and Diu,dadra and nagar haveli,2018,Q2 (Apr - Jun),43085
Dadra and Nagar Haveli and Daman and Diu,daman,2018,Q2 (Apr - Jun),25144
Dadra and Nagar Haveli and Daman and Diu,diu,2018,Q2 (Apr - Jun),3229
Delhi,west,2018,Q2 (Apr - Jun),406877
Delhi,south east delhi,2018,Q2 (Apr - Jun),333350
Delhi,north west,2018,Q2 (Apr - Jun),294038
Delhi,new delhi,2018,Q2 (Apr - Jun),282319
Delhi,central delhi,2018,Q2 (Apr - Jun),267154
Delhi,south west,2018,Q2 (Apr - Jun),236789
Delhi,north,2018,Q2 (Apr - Jun),227958
Delhi,east,2018,Q2 (Apr - Jun),221449
Delhi,south,2018,Q2 (Apr - Jun),206935
Delhi,shahdara,2018,Q2 (Apr - Jun),152113
Goa,north goa,2018,Q2 (Apr - Jun),76192
Goa,south goa,2018,Q2 (Apr - Jun),45982
Gujarat,ahmadabad,2018,Q2 (Apr - Jun),751746
Gujarat,surat,2018,Q2 (Apr - Jun),652372
Gujarat,vadodara,2018,Q2 (Apr - Jun),271730
Gujarat,rajkot,2018,Q2 (Apr - Jun),174778
Gujarat,gandhinagar,2018,Q2 (Apr - Jun),155539
Gujarat,bharuch,2018,Q2 (Apr - Jun),134500
Gujarat,kachchh,2018,Q2 (Apr - Jun),128064
Gujarat,mahesana,2018,Q2 (Apr - Jun),127614
Gujarat,banas kantha,2018,Q2 (Apr - Jun),125849
Gujarat,bhavnagar,2018,Q2 (Apr - Jun),115812
Haryana,gurugram,2018,Q2 (Apr - Jun),621718
Haryana,faridabad,2018,Q2 (Apr - Jun),306358
Haryana,hisar,2018,Q2 (Apr - Jun),147599
Haryana,rewari,2018,Q2 (Apr - Jun),113056
Haryana,sonipat,2018,Q2 (Apr - Jun),106837
Haryana,panipat,2018,Q2 (Apr - Jun),101243
Haryana,karnal,2018,Q2 (Apr - Jun),98276
Haryana,sirsa,2018,Q2 (Apr - Jun),91908
Haryana,rohtak,2018,Q2 (Apr - Jun),82822
Haryana,bhiwani,2018,Q2 (Apr - Jun),75485
Himachal Pradesh,solan,2018,Q2 (Apr - Jun),68950
Himachal Pradesh,kangra,2018,Q2 (Apr - Jun),54828
Himachal Pradesh,shimla,2018,Q2 (Apr - Jun),38590
Himachal Pradesh,mandi,2018,Q2 (Apr - Jun),36126
Himachal Pradesh,sirmaur,2018,Q2 (Apr - Jun),22379
Himachal Pradesh,hamirpur,2018,Q2 (Apr - Jun),21374
Himachal Pradesh,kullu,2018,Q2 (Apr - Jun),21077
Himachal Pradesh,una,2018,Q2 (Apr - Jun),18691
Himachal Pradesh,bilaspur,2018,Q2 (Apr - Jun),16531
Himachal Pradesh,chamba,2018,Q2 (Apr - Jun),12259
Jammu & Kashmir,jammu,2018,Q2 (Apr - Jun),64681
Jammu & Kashmir,srinagar,2018,Q2 (Apr - Jun),27035
Jammu & Kashmir,baramulla,2018,Q2 (Apr - Jun),25870
Jammu & Kashmir,budgam,2018,Q2 (Apr - Jun),17809
Jammu & Kashmir,anantnag,2018,Q2 (Apr - Jun),16373
Jammu & Kashmir,pulwama,2018,Q2 (Apr - Jun),12218
Jammu & Kashmir,udhampur,2018,Q2 (Apr - Jun),12195
Jammu & Kashmir,kathua,2018,Q2 (Apr - Jun),11778
Jammu & Kashmir,kupwara,2018,Q2 (Apr - Jun),11482
Jammu & Kashmir,samba,2018,Q2 (Apr - Jun),9601
Jharkhand,ranchi,2018,Q2 (Apr - Jun),216019
Jharkhand,dhanbad,2018,Q2 (Apr - Jun),181348
Jharkhand,east singhbhum,2018,Q2 (Apr - Jun),142493
Jharkhand,bokaro,2018,Q2 (Apr - Jun),139675
Jharkhand,hazaribagh,2018,Q2 (Apr - Jun),78856
Jharkhand,giridih,2018,Q2 (Apr - Jun),63248
Jharkhand,ramgarh,2018,Q2 (Apr - Jun),51846
Jharkhand,deoghar,2018,Q2 (Apr - Jun),50575
Jharkhand,palamu,2018,Q2 (Apr - Jun),45659
Jharkhand,saraikela kharsawan,2018,Q2 (Apr - Jun),43186
Karnataka,bengaluru urban,2018,Q2 (Apr - Jun),2553312
Karnataka,mysuru,2018,Q2 (Apr - Jun),205044
Karnataka,belagavi,2018,Q2 (Apr - Jun),194698
Karnataka,dharwad,2018,Q2 (Apr - Jun),144884
Karnataka,ballari,2018,Q2 (Apr - Jun),140995
Karnataka,bengaluru rural,2018,Q2 (Apr - Jun),121048
Karnataka,dakshina kannada,2018,Q2 (Apr - Jun),118271
Karnataka,tumakuru,2018,Q2 (Apr - Jun),116855
Karnataka,kalaburagi,2018,Q2 (Apr - Jun),113205
Karnataka,vijayapura,2018,Q2 (Apr - Jun),95448
Kerala,ernakulam,2018,Q2 (Apr - Jun),211942
Kerala,thiruvananthapuram,2018,Q2 (Apr - Jun),115732
Kerala,malappuram,2018,Q2 (Apr - Jun),110526
Kerala,kozhikode,2018,Q2 (Apr - Jun),110167
Kerala,thrissur,2018,Q2 (Apr - Jun),91046
Kerala,kannur,2018,Q2 (Apr - Jun),72388
Kerala,palakkad,2018,Q2 (Apr - Jun),71303
Kerala,kottayam,2018,Q2 (Apr - Jun),60088
Kerala,kollam,2018,Q2 (Apr - Jun),59777
Kerala,alappuzha,2018,Q2 (Apr - Jun),54864
Ladakh,leh ladakh,2018,Q2 (Apr - Jun),10733
Ladakh,kargil,2018,Q2 (Apr - Jun),2185
Lakshadweep,lakshadweep,2018,Q2 (Apr - Jun),686
Madhya Pradesh,indore,2018,Q2 (Apr - Jun),479904
Madhya Pradesh,bhopal,2018,Q2 (Apr - Jun),398498
Madhya Pradesh,gwalior,2018,Q2 (Apr - Jun),193605
Madhya Pradesh,jabalpur,2018,Q2 (Apr - Jun),155624
Madhya Pradesh,ujjain,2018,Q2 (Apr - Jun),113216
