State,District,Year,Quarter,Total_transaction,Transaction_amount
Haryana,rohtak,2018,Q1 (Jan - Mar),121728,215207976
Himachal Pradesh,solan,2018,Q1 (Jan - Mar),118881,146873607
Himachal Pradesh,kangra,2018,Q1 (Jan - Mar),62061,83269925
Himachal Pradesh,shimla,2018,Q1 (Jan - Mar),54161,84375526
Himachal Pradesh,mandi,2018,Q1 (Jan - Mar),44169,50308276
Himachal Pradesh,chamba,2018,Q1 (Jan - Mar),41138,69091183
Himachal Pradesh,una,2018,Q1 (Jan - Mar),39070,48375221
Himachal Pradesh,sirmaur,2018,Q1 (Jan - Mar),37721,43579534
Himachal Pradesh,hamirpur,2018,Q1 (Jan - Mar),32709,37506250
Himachal Pradesh,kullu,2018,Q1 (Jan - Mar),23978,36599342
Himachal Pradesh,bilaspur,2018,Q1 (Jan - Mar),21880,20215586
Jammu & Kashmir,poonch,2018,Q1 (Jan - Mar),398963,509120439
Jammu & Kashmir,baramulla,2018,Q1 (Jan - Mar),83775,44215018
Jammu & Kashmir,jammu,2018,Q1 (Jan - Mar),81381,127452979
Jammu & Kashmir,anantnag,2018,Q1 (Jan - Mar),64478,24885721
Jammu & Kashmir,budgam,2018,Q1 (Jan - Mar),50748,36218453
Jammu & Kashmir,srinagar,2018,Q1 (Jan - Mar),47285,62676256
Jammu & Kashmir,bandipore,2018,Q1 (Jan - Mar),38208,11885513
Jammu & Kashmir,pulwama,2018,Q1 (Jan - Mar),35793,24777476
Jammu & Kashmir,kulgam,2018,Q1 (Jan - Mar),23587,9213671
Jammu & Kashmir,ganderbal,2018,Q1 (Jan - Mar),20571,9107649
Jharkhand,ranchi,2018,Q1 (Jan - Mar),356622,434234048
Jharkhand,dhanbad,2018,Q1 (Jan - Mar),340878,271973005
Jharkhand,bokaro,2018,Q1 (Jan - Mar),263441,210067688
Jharkhand,east singhbhum,2018,Q1 (Jan - Mar),220276,257229540
Jharkhand,hazaribagh,2018,Q1 (Jan - Mar),150709,171297280
Jharkhand,giridih,2018,Q1 (Jan - Mar),131905,131409945
Jharkhand,ramgarh,2018,Q1 (Jan - Mar),97459,85844869
Jharkhand,palamu,2018,Q1 (Jan - Mar),84608,128141542
Jharkhand,saraikela kharsawan,2018,Q1 (Jan - Mar),83449,74573902
Jharkhand,deoghar,2018,Q1 (Jan - Mar),70058,91100585
Karnataka,bengaluru urban,2018,Q1 (Jan - Mar),8306513,14162750303
Karnataka,mysuru,2018,Q1 (Jan - Mar),331051,515455840
Karnataka,belagavi,2018,Q1 (Jan - Mar),265382,286997207
Karnataka,ballari,2018,Q1 (Jan - Mar),218492,317208290
Karnataka,dharwad,2018,Q1 (Jan - Mar),204568,231336487
Karnataka,bengaluru rural,2018,Q1 (Jan - Mar),187325,307037188
Karnataka,dakshina kannada,2018,Q1 (Jan - Mar),185407,270072282
Karnataka,tumakuru,2018,Q1 (Jan - Mar),177987,260985866
Karnataka,kalaburagi,2018,Q1 (Jan - Mar),152325,212180924
Karnataka,bidar,2018,Q1 (Jan - Mar),148528,219204065
Kerala,ernakulam,2018,Q1 (Jan - Mar),390006,630357709
Kerala,malappuram,2018,Q1 (Jan - Mar),239508,256416524
Kerala,kozhikode,2018,Q1 (Jan - Mar),206971,264216575
Kerala,thiruvananthapuram,2018,Q1 (Jan - Mar),172079,275202215
Kerala,thrissur,2018,Q1 (Jan - Mar),148871,200502461
Kerala,palakkad,2018,Q1 (Jan - Mar),119324,155278345
Kerala,kottayam,2018,Q1 (Jan - Mar),102446,132788590
Kerala,kannur,2018,Q1 (Jan - Mar),92260,112128543
Kerala,kollam,2018,Q1 (Jan - Mar),76713,93495184
Kerala,alappuzha,2018,Q1 (Jan - Mar),74941,95014765
Ladakh,leh ladakh,2018,Q1 (Jan - Mar),4845,9101926
Ladakh,kargil,2018,Q1 (Jan - Mar),1244,3430931
Lakshadweep,lakshadweep,2018,Q1 (Jan - Mar),778,1928611
Madhya Pradesh,bhopal,2018,Q1 (Jan - Mar),1704495,1905473874
Madhya Pradesh,indore,2018,Q1 (Jan - Mar),1066784,1455149304
Madhya Pradesh,gwalior,2018,Q1 (Jan - Mar),354555,437805408
Madhya Pradesh,jabalpur,2018,Q1 (Jan - Mar),294739,336129604
Madhya Pradesh,sehore,2018,Q1 (Jan - Mar),262578,253627459
Madhya Pradesh,ujjain,2018,Q1 (Jan - Mar),223180,258084907
Madhya Pradesh,sagar,2018,Q1 (Jan - Mar),217079,158907811
Madhya Pradesh,rewa,2018,Q1 (Jan - Mar),210786,249549304
Madhya Pradesh,dewas,2018,Q1 (Jan - Mar),187518,204604018
Madhya Pradesh,dhar,2018,Q1 (Jan - Mar),183246,206440756
Maharashtra,pune,2018,Q1 (Jan - Mar),3842929,5378982326
Maharashtra,mumbai,2018,Q1 (Jan - Mar),2671029,3923116793
Maharashtra,mumbai suburban,2018,Q1 (Jan - Mar),1444587,2385242801
Maharashtra,thane,2018,Q1 (Jan - Mar),1243518,1995816824
Maharashtra,nashik,2018,Q1 (Jan - Mar),669259,874435847
Maharashtra,aurangabad,2018,Q1 (Jan - Mar),620430,680361961
Maharashtra,nagpur,2018,Q1 (Jan - Mar),592456,781981176
Maharashtra,solapur,2018,Q1 (Jan - Mar),451438,535791949
Maharashtra,ahmednagar,2018,Q1 (Jan - Mar),438972,522540233
Maharashtra,kolhapur,2018,Q1 (Jan - Mar),351519,354723905
Manipur,imphal west,2018,Q1 (Jan - Mar),29863,46026262
Manipur,imphal east,2018,Q1 (Jan - Mar),21960,26028937
Manipur,thoubal,2018,Q1 (Jan - Mar),8288,8366772
Manipur,bishnupur,2018,Q1 (Jan - Mar),7005,11341627
Manipur,kangpokpi,2018,Q1 (Jan - Mar),4187,12129421
Manipur,churachandpur,2018,Q1 (Jan - Mar),4081,11708258
Manipur,kakching,2018,Q1 (Jan - Mar),1622,1924584
Manipur,ukhrul,2018,Q1 (Jan - Mar),1399,1647288
Manipur,jiribam,2018,Q1 (Jan - Mar),1305,3564799
Manipur,tamenglong,2018,Q1 (Jan - Mar),1007,1709209
Meghalaya,east khasi hills,2018,Q1 (Jan - Mar),23283,31807959
Meghalaya,west garo hills,2018,Q1 (Jan - Mar),7660,9199200
Meghalaya,ribhoi,2018,Q1 (Jan - Mar),6029,8736566
Meghalaya,east jaintia hills,2018,Q1 (Jan - Mar),4896,8299361
Meghalaya,west jaintia hills,2018,Q1 (Jan - Mar),3131,2812937
Meghalaya,west khasi hills,2018,Q1 (Jan - Mar),1079,1647761
Meghalaya,north garo hills,2018,Q1 (Jan - Mar),922,652554
Meghalaya,south west garo hills,2018,Q1 (Jan - Mar),798,1015597
Meghalaya,east garo hills,2018,Q1 (Jan - Mar),749,781579
Meghalaya,south garo hills,2018,Q1 (Jan - Mar),705,807410
Mizoram,aizawl,2018,Q1 (Jan - Mar),12006,27918980
Mizoram,lunglei,2018,Q1 (Jan - Mar),1604,2350555
Mizoram,kolasib,2018,Q1 (Jan - Mar),1457,3891685
Mizoram,mamit,2018,Q1 (Jan - Mar),1133,5729263
Mizoram,lawngtlai,2018,Q1 (Jan - Mar),735,547180
Mizoram,serchhip,2018,Q1 (Jan - Mar),691,1729998
Mizoram,saiha,2018,Q1 (Jan - Mar),482,2188550
Mizoram,champhai,2018,Q1 (Jan - Mar),453,871005
Nagaland,dimapur,2018,Q1 (Jan - Mar),18449,38330087
Nagaland,kohima,2018,Q1 (Jan - Mar),11070,20744033
Nagaland,mokokchung,2018,Q1 (Jan - Mar),3428,5653655
Nagaland,tuensang,2018,Q1 (Jan - Mar),1861,2939509
Nagaland,mon,2018,Q1 (Jan - Mar),1851,2962723
Nagaland,zunheboto,2018,Q1 (Jan - Mar),1700,1750900
Nagaland,wokha,2018,Q1 (Jan - Mar),1642,1942858
Nagaland,phek,2018,Q1 (Jan - Mar),1397,1347986
Nagaland,longleng,2018,Q1 (Jan - Mar),605,547262
Nagaland,peren,2018,Q1 (Jan - Mar),587,1228042
Odisha,khordha,2018,Q1 (Jan - Mar),1013916,1064565482
Odisha,cuttack,2018,Q1 (Jan - Mar),487588,391394151
Odisha,baleshwar,2018,Q1 (Jan - Mar),469068,306223509
Odisha,ganjam,2018,Q1 (Jan - Mar),399549,379358026
Odisha,jajapur,2018,Q1 (Jan - Mar),362382,204373666
Odisha,bhadrak,2018,Q1 (Jan - Mar),279644,187375014
Odisha,puri,2018,Q1 (Jan - Mar),279071,173702320
Odisha,kendujhar,2018,Q1 (Jan - Mar),259941,196242627
Odisha,jagatsinghapur,2018,Q1 (Jan - Mar),226525,119770991
Odisha,mayurbhanj,2018,Q1 (Jan - Mar),208105,151786389
Puducherry,puducherry,2018,Q1 (Jan - Mar),86486,136205607
Puducherry,karaikal,2018,Q1 (Jan - Mar),10266,17996501
Puducherry,yanam,2018,Q1 (Jan - Mar),5948,9167584
Puducherry,mahe,2018,Q1 (Jan - Mar),1512,2456276
Punjab,ludhiana,2018,Q1 (Jan - Mar),427197,563038260
Punjab,sas nagar,2018,Q1 (Jan - Mar),285119,465850273
Punjab,patiala,2018,Q1 (Jan - Mar),131111,216716752
Punjab,jalandhar,2018,Q1 (Jan - Mar),118981,193577710
Punjab,fazilka,2018,Q1 (Jan - Mar),100864,118915901
Punjab,amritsar,2018,Q1 (Jan - Mar),98115,200091373
Punjab,bathinda,2018,Q1 (Jan - Mar),96310,151709303
Punjab,sangrur,2018,Q1 (Jan - Mar),89227,118420389
Punjab,kapurthala,2018,Q1 (Jan - Mar),65770,79325181
Punjab,pathankot,2018,Q1 (Jan - Mar),51474,81047251
Rajasthan,jaipur,2018,Q1 (Jan - Mar),2417174,2953086960
Rajasthan,alwar,2018,Q1 (Jan - Mar),511188,636193637
Rajasthan,sikar,2018,Q1 (Jan - Mar),321709,354268688
Rajasthan,kota,2018,Q1 (Jan - Mar),317338,313545175
Rajasthan,jodhpur,2018,Q1 (Jan - Mar),317285,467963867
Rajasthan,bhilwara,2018,Q1 (Jan - Mar),305744,353135371
Rajasthan,ganganagar,2018,Q1 (Jan - Mar),238689,291145139
Rajasthan,nagaur,2018,Q1 (Jan - Mar),226358,245926094
Rajasthan,ajmer,2018,Q1 (Jan - Mar),224405,347556929
Rajasthan,udaipur,2018,Q1 (Jan - Mar),224103,315736879
Sikkim,east,2018,Q1 (Jan - Mar),24432,35907388
Sikkim,south,2018,Q1 (Jan - Mar),11355,16098282
Sikkim,west,2018,Q1 (Jan - Mar),4845,7468491
Sikkim,north,2018,Q1 (Jan - Mar),3446,5176776
Tamil Nadu,chennai,2018,Q1 (Jan - Mar),2656230,4281137762
Tamil Nadu,chengalpattu,2018,Q1 (Jan - Mar),569483,1030187164
Tamil Nadu,coimbatore,2018,Q1 (Jan - Mar),533919,913824434
Tamil Nadu,thiruvallur,2018,Q1 (Jan - Mar),413340,730210413
Tamil Nadu,kancheepuram,2018,Q1 (Jan - Mar),308279,538409899
Tamil Nadu,tiruppur,2018,Q1 (Jan - Mar),239740,423271979
Tamil Nadu,salem,2018,Q1 (Jan - Mar),219916,375963971
Tamil Nadu,krishnagiri,2018,Q1 (Jan - Mar),153618,253907426
Tamil Nadu,tiruchirappalli,2018,Q1 (Jan - Mar),149186,262528157
Tamil Nadu,madurai,2018,Q1 (Jan - Mar),129858,232151304
Telangana,hyderabad,2018,Q1 (Jan - Mar),2545507,4287223789
Telangana,rangareddy,2018,Q1 (Jan - Mar),1459174,2677304926
Telangana,medchal malkajgiri,2018,Q1 (Jan - Mar),1131530,1912837340
Telangana,warangal urban,2018,Q1 (Jan - Mar),349165,421074106
Telangana,sangareddy,2018,Q1 (Jan - Mar),291510,399236233
Telangana,karimnagar,2018,Q1 (Jan - Mar),224324,271526470
Telangana,nalgonda,2018,Q1 (Jan - Mar),204137,267825160
Telangana,khammam,2018,Q1 (Jan - Mar),183964,245857422
Telangana,peddapalle,2018,Q1 (Jan - Mar),169274,199610181
Telangana,siddipet,2018,Q1 (Jan - Mar),144429,197965017
Tripura,west tripura,2018,Q1 (Jan - Mar),70467,68418341
Tripura,south tripura,2018,Q1 (Jan - Mar),18338,13785118
Tripura,sepahijala,2018,Q1 (Jan - Mar),14107,13224752
Tripura,gomati,2018,Q1 (Jan - Mar),12229,11277259
Tripura,north tripura,2018,Q1 (Jan - Mar),9915,10869174
Tripura,dhalai,2018,Q1 (Jan - Mar),9195,8812172
Tripura,khowai,2018,Q1 (Jan - Mar),8838,7242490
Tripura,unakoti,2018,Q1 (Jan - Mar),5068,4349605
Uttar Pradesh,gautam buddha nagar,2018,Q1 (Jan - Mar),1387567,2065704006
Uttar Pradesh,lucknow,2018,Q1 (Jan - Mar),949749,1271848634
Uttar Pradesh,ghaziabad,2018,Q1 (Jan - Mar),751503,1146504201
Uttar Pradesh,prayagraj,2018,Q1 (Jan - Mar),628453,652988000
Uttar Pradesh,varanasi,2018,Q1 (Jan - Mar),573338,534929627
Uttar Pradesh,kanpur nagar,2018,Q1 (Jan - Mar),493390,550298919
Uttar Pradesh,gorakhpur,2018,Q1 (Jan - Mar),324943,377954039
Uttar Pradesh,bareilly,2018,Q1 (Jan - Mar),306561,272420019
Uttar Pradesh,agra,2018,Q1 (Jan - Mar),298049,353477588
Uttar Pradesh,meerut,2018,Q1 (Jan - Mar),267015,345744809
Uttarakhand,dehradun,2018,Q1 (Jan - Mar),329459,512888194
Uttarakhand,udham singh nagar,2018,Q1 (Jan - Mar),319290,273540317
Uttarakhand,haridwar,2018,Q1 (Jan - Mar),308588,394604404
Uttarakhand,nainital,2018,Q1 (Jan - Mar),106949,116698562
