State,Year,Quarter,Register,App_opened
Meghalaya,2021,Q1 (Jan - Mar),190869,2939026
Mizoram,2021,Q1 (Jan - Mar),85750,1193214
Nagaland,2021,Q1 (Jan - Mar),207808,2980581
Odisha,2021,Q1 (Jan - Mar),9233009,301315474
Puducherry,2021,Q1 (Jan - Mar),346279,7914507
Punjab,2021,Q1 (Jan - Mar),5568777,81052268
Rajasthan,2021,Q1 (Jan - Mar),17661088,632535059
Sikkim,2021,Q1 (Jan - Mar),160213,2795331
Tamil Nadu,2021,Q1 (Jan - Mar),16632608,348801714
Telangana,2021,Q1 (Jan - Mar),17149069,920040042
Tripura,2021,Q1 (Jan - Mar),439636,6009660
Uttar Pradesh,2021,Q1 (Jan - Mar),29482075,639718324
Uttarakhand,2021,Q1 (Jan - Mar),2802122,59282260
West Bengal,2021,Q1 (Jan - Mar),16808799,316832674
Andaman & Nicobar,2021,Q2 (Apr - Jun),62095,2248223
Andhra Pradesh,2021,Q2 (Apr - Jun),19620905,1044705436
Arunachal Pradesh,2021,Q2 (Apr - Jun),270572,13025849
Assam,2021,Q2 (Apr - Jun),3617056,102003890
Bihar,2021,Q2 (Apr - Jun),14972134,371198660
Chandigarh,2021,Q2 (Apr - Jun),448572,4733924
Chhattisgarh,2021,Q2 (Apr - Jun),4837055,205784717
Dadra and Nagar Haveli and Daman and Diu,2021,Q2 (Apr - Jun),344994,5062983
Delhi,2021,Q2 (Apr - Jun),11182699,164997774
Goa,2021,Q2 (Apr - Jun),609106,12710361
Gujarat,2021,Q2 (Apr - Jun),15735981,282432543
Haryana,2021,Q2 (Apr - Jun),10530594,234052506
Himachal Pradesh,2021,Q2 (Apr - Jun),1743151,43269977
Jammu & Kashmir,2021,Q2 (Apr - Jun),1261267,34274559
Jharkhand,2021,Q2 (Apr - Jun),5701503,184234107
Karnataka,2021,Q2 (Apr - Jun),25751023,1051089714
Kerala,2021,Q2 (Apr - Jun),7416083,87814415
Ladakh,2021,Q2 (Apr - Jun),75048,4391632
Lakshadweep,2021,Q2 (Apr - Jun),4896,40301
Madhya Pradesh,2021,Q2 (Apr - Jun),15940935,727741649
Maharashtra,2021,Q2 (Apr - Jun),39664697,1208083592
Manipur,2021,Q2 (Apr - Jun),335409,7269002
Meghalaya,2021,Q2 (Apr - Jun),205686,7290804
Mizoram,2021,Q2 (Apr - Jun),92552,4014597
Nagaland,2021,Q2 (Apr - Jun),223337,6716892
Odisha,2021,Q2 (Apr - Jun),9891029,367576494
Puducherry,2021,Q2 (Apr - Jun),369961,5178916
Punjab,2021,Q2 (Apr - Jun),5976548,85894089
Rajasthan,2021,Q2 (Apr - Jun),18980985,1072091232
Sikkim,2021,Q2 (Apr - Jun),171740,4541121
Tamil Nadu,2021,Q2 (Apr - Jun),17804542,343968474
Telangana,2021,Q2 (Apr - Jun),18306880,905317692
Tripura,2021,Q2 (Apr - Jun),472153,9500881
Uttar Pradesh,2021,Q2 (Apr - Jun),31651894,673598864
Uttarakhand,2021,Q2 (Apr - Jun),3004040,78380036
West Bengal,2021,Q2 (Apr - Jun),17979979,275341466
Andaman & Nicobar,2021,Q3 (Jul - Sep),66982,3121625
Andhra Pradesh,2021,Q3 (Jul - Sep),21059898,1258536879
Arunachal Pradesh,2021,Q3 (Jul - Sep),293073,17209654
Assam,2021,Q3 (Jul - Sep),3918480,135288631
Bihar,2021,Q3 (Jul - Sep),16160771,421801379
Chandigarh,2021,Q3 (Jul - Sep),480463,6378807
Chhattisgarh,2021,Q3 (Jul - Sep),5206084,276486076
Dadra and Nagar Haveli and Daman and Diu,2021,Q3 (Jul - Sep),371874,7162734
Delhi,2021,Q3 (Jul - Sep),11980061,223844376
Goa,2021,Q3 (Jul - Sep),653458,16575111
Gujarat,2021,Q3 (Jul - Sep),16946761,379987151
Haryana,2021,Q3 (Jul - Sep),11325336,296884105
Himachal Pradesh,2021,Q3 (Jul - Sep),1880626,52970288
Jammu & Kashmir,2021,Q3 (Jul - Sep),1359860,45025197
Jharkhand,2021,Q3 (Jul - Sep),6151843,230475998
Karnataka,2021,Q3 (Jul - Sep),27614221,1366781087
Kerala,2021,Q3 (Jul - Sep),7949425,116282717
Ladakh,2021,Q3 (Jul - Sep),81210,7099550
Lakshadweep,2021,Q3 (Jul - Sep),5287,49127
Madhya Pradesh,2021,Q3 (Jul - Sep),17210233,929572924
Maharashtra,2021,Q3 (Jul - Sep),42581217,1565370852
Manipur,2021,Q3 (Jul - Sep),361749,9743772
Meghalaya,2021,Q3 (Jul - Sep),223065,9952956
Mizoram,2021,Q3 (Jul - Sep),100647,5385718
Nagaland,2021,Q3 (Jul - Sep),241797,8661991
Odisha,2021,Q3 (Jul - Sep),10652490,492879704
Puducherry,2021,Q3 (Jul - Sep),396609,6899592
Punjab,2021,Q3 (Jul - Sep),6434862,107614155
Rajasthan,2021,Q3 (Jul - Sep),20499465,1429553825
Sikkim,2021,Q3 (Jul - Sep),184693,5714565
Tamil Nadu,2021,Q3 (Jul - Sep),19127440,459826734
Telangana,2021,Q3 (Jul - Sep),19615278,1107529197
Tripura,2021,Q3 (Jul - Sep),509929,12279146
Uttar Pradesh,2021,Q3 (Jul - Sep),34151882,803890116
Uttarakhand,2021,Q3 (Jul - Sep),3233509,90886530
West Bengal,2021,Q3 (Jul - Sep),19323278,348588666
Andaman & Nicobar,2021,Q4 (Oct - Dec),71780,2112910
Andhra Pradesh,2021,Q4 (Oct - Dec),22489029,1447717601
Arunachal Pradesh,2021,Q4 (Oct - Dec),314944,11230295
Assam,2021,Q4 (Oct - Dec),4209591,130600435
Bihar,2021,Q4 (Oct - Dec),17335981,647400838
Chandigarh,2021,Q4 (Oct - Dec),512092,11603954
Chhattisgarh,2021,Q4 (Oct - Dec),5565481,251752583
Dadra and Nagar Haveli and Daman and Diu,2021,Q4 (Oct - Dec),398963,15009455
Delhi,2021,Q4 (Oct - Dec),12785127,345669353
Goa,2021,Q4 (Oct - Dec),697178,28288254
Gujarat,2021,Q4 (Oct - Dec),18139201,487846209
Haryana,2021,Q4 (Oct - Dec),12116439,442176987
Himachal Pradesh,2021,Q4 (Oct - Dec),2013747,47670982
Jammu & Kashmir,2021,Q4 (Oct - Dec),1456810,36012148
Jharkhand,2021,Q4 (Oct - Dec),6596196,284960009
Karnataka,2021,Q4 (Oct - Dec),29459646,1941558513
Kerala,2021,Q4 (Oct - Dec),8473810,213542857
Ladakh,2021,Q4 (Oct - Dec),87057,2665203
Lakshadweep,2021,Q4 (Oct - Dec),5638,67320
Madhya Pradesh,2021,Q4 (Oct - Dec),18456243,956630781
Maharashtra,2021,Q4 (Oct - Dec),45482506,2031739248
Manipur,2021,Q4 (Oct - Dec),387746,7603294
Meghalaya,2021,Q4 (Oct - Dec),240268,6048594
Mizoram,2021,Q4 (Oct - Dec),108405,2094118
Nagaland,2021,Q4 (Oct - Dec),259990,6383337
Odisha,2021,Q4 (Oct - Dec),11399235,567351446
Puducherry,2021,Q4 (Oct - Dec),423167,14257568
Punjab,2021,Q4 (Oct - Dec),6880103,138427499
Rajasthan,2021,Q4 (Oct - Dec),21977202,1185124031
Sikkim,2021,Q4 (Oct - Dec),197407,5525552
Tamil Nadu,2021,Q4 (Oct - Dec),20433142,685861440
Telangana,2021,Q4 (Oct - Dec),20917649,1407599392
Tripura,2021,Q4 (Oct - Dec),546292,10728702
Uttar Pradesh,2021,Q4 (Oct - Dec),36617655,1175923794
Uttarakhand,2021,Q4 (Oct - Dec),3460015,110928354
West Bengal,2021,Q4 (Oct - Dec),20644527,512335839
Andaman & Nicobar,2022,Q1 (Jan - Mar),76288,3847407
Andhra Pradesh,2022,Q1 (Jan - Mar),23857951,1254785973
Arunachal Pradesh,2022,Q1 (Jan - Mar),335339,41418559
Assam,2022,Q1 (Jan - Mar),4492589,281642453
Bihar,2022,Q1 (Jan - Mar),18484658,316991599
Chandigarh,2022,Q1 (Jan - Mar),541549,2321685
Chhattisgarh,2022,Q1 (Jan - Mar),5916961,448503438
Dadra and Nagar Haveli and Daman and Diu,2022,Q1 (Jan - Mar),424570,3910792
Delhi,2022,Q1 (Jan - Mar),13539197,57524153
Goa,2022,Q1 (Jan - Mar),738628,18678798
Gujarat,2022,Q1 (Jan - Mar),19265314,521776939
Haryana,2022,Q1 (Jan - Mar),12866988,217228467
Himachal Pradesh,2022,Q1 (Jan - Mar),2143483,77278278
Jammu & Kashmir,2022,Q1 (Jan - Mar),1549320,62115857
Jharkhand,2022,Q1 (Jan - Mar),7025275,331355981
Karnataka,2022,Q1 (Jan - Mar),31200349,1727054045
Kerala,2022,Q1 (Jan - Mar),8972299,94047893
Ladakh,2022,Q1 (Jan - Mar),92492,8902080
Lakshadweep,2022,Q1 (Jan - Mar),5990,45410
Madhya Pradesh,2022,Q1 (Jan - Mar),19656147,1678266475
Maharashtra,2022,Q1 (Jan - Mar),48227630,2157769514
Manipur,2022,Q1 (Jan - Mar),411900,22637747
Meghalaya,2022,Q1 (Jan - Mar),255839,23634106
Mizoram,2022,Q1 (Jan - Mar),115295,14886657
Nagaland,2022,Q1 (Jan - Mar),276483,24206053
Odisha,2022,Q1 (Jan - Mar),12124779,613855465
Puducherry,2022,Q1 (Jan - Mar),448051,3938657
Punjab,2022,Q1 (Jan - Mar),7302726,117482807
Rajasthan,2022,Q1 (Jan - Mar),23398857,2570606469
Sikkim,2022,Q1 (Jan - Mar),209616,12440193
Tamil Nadu,2022,Q1 (Jan - Mar),21667020,638490275
Telangana,2022,Q1 (Jan - Mar),22150612,1168864524
Tripura,2022,Q1 (Jan - Mar),582124,19322963
Uttar Pradesh,2022,Q1 (Jan - Mar),38999692,836926025
Uttarakhand,2022,Q1 (Jan - Mar),3674829,115224382
West Bengal,2022,Q1 (Jan - Mar),21919787,236131065
Andaman & Nicobar,2022,Q2 (Apr - Jun),80530,5180013
Andhra Pradesh,2022,Q2 (Apr - Jun),25157264,1378736856
Arunachal Pradesh,2022,Q2 (Apr - Jun),354528,49889518
Assam,2022,Q2 (Apr - Jun),4755787,339929089
Bihar,2022,Q2 (Apr - Jun),19569894,348588438
Chandigarh,2022,Q2 (Apr - Jun),569582,2285979
Chhattisgarh,2022,Q2 (Apr - Jun),6238349,501411120
Dadra and Nagar Haveli and Daman and Diu,2022,Q2 (Apr - Jun),449016,3886292
Delhi,2022,Q2 (Apr - Jun),14260143,52553080
Goa,2022,Q2 (Apr - Jun),777779,19062157
Gujarat,2022,Q2 (Apr - Jun),20321596,609943436
Haryana,2022,Q2 (Apr - Jun),13576065,236091309
Himachal Pradesh,2022,Q2 (Apr - Jun),2264407,102488683
Jammu & Kashmir,2022,Q2 (Apr - Jun),1635570,89986310
Jharkhand,2022,Q2 (Apr - Jun),7426174,379053485
Karnataka,2022,Q2 (Apr - Jun),32831447,2065359837
Kerala,2022,Q2 (Apr - Jun),9442533,98876392
Ladakh,2022,Q2 (Apr - Jun),97517,14768129
Lakshadweep,2022,Q2 (Apr - Jun),6327,38450
Madhya Pradesh,2022,Q2 (Apr - Jun),20766417,1902866132
Maharashtra,2022,Q2 (Apr - Jun),50802786,2492946019
Manipur,2022,Q2 (Apr - Jun),434563,26236900
Meghalaya,2022,Q2 (Apr - Jun),269943,27458992
Mizoram,2022,Q2 (Apr - Jun),121535,16646550
Nagaland,2022,Q2 (Apr - Jun),292104,28652431
Odisha,2022,Q2 (Apr - Jun),12801990,670311093
Puducherry,2022,Q2 (Apr - Jun),471663,3830290
Punjab,2022,Q2 (Apr - Jun),7702100,138965337
Rajasthan,2022,Q2 (Apr - Jun),24716181,2771434947
Sikkim,2022,Q2 (Apr - Jun),220994,16993937
Tamil Nadu,2022,Q2 (Apr - Jun),22829720,740265406
Telangana,2022,Q2 (Apr - Jun),23314363,1276259370
Tripura,2022,Q2 (Apr - Jun),615782,21343111
Uttar Pradesh,2022,Q2 (Apr - Jun),41247289,947480495
Uttarakhand,2022,Q2 (Apr - Jun),3877056,156465685
West Bengal,2022,Q2 (Apr - Jun),23124388,250276369
Andaman & Nicobar,2022,Q3 (Jul - Sep),84642,6068354
Andhra Pradesh,2022,Q3 (Jul - Sep),26496330,1357005703
Arunachal Pradesh,2022,Q3 (Jul - Sep),373372,59722628
Assam,2022,Q3 (Jul - Sep),5016910,410760707
Bihar,2022,Q3 (Jul - Sep),20694376,336807385
Chandigarh,2022,Q3 (Jul - Sep),598698,2173356
Chhattisgarh,2022,Q3 (Jul - Sep),6562237,543206487
Dadra and Nagar Haveli and Daman and Diu,2022,Q3 (Jul - Sep),474807,3837881
Delhi,2022,Q3 (Jul - Sep),15009523,49919498
Goa,2022,Q3 (Jul - Sep),817830,19712764
Gujarat,2022,Q3 (Jul - Sep),21394721,699121904
Haryana,2022,Q3 (Jul - Sep),14303933,265475161
Himachal Pradesh,2022,Q3 (Jul - Sep),2381576,108832538
Jammu & Kashmir,2022,Q3 (Jul - Sep),1719185,109346235
Jharkhand,2022,Q3 (Jul - Sep),7836429,414228860
Karnataka,2022,Q3 (Jul - Sep),34493994,2148016434
Kerala,2022,Q3 (Jul - Sep),9933977,104565833
Ladakh,2022,Q3 (Jul - Sep),102299,19734781
Lakshadweep,2022,Q3 (Jul - Sep),6645,18111
Madhya Pradesh,2022,Q3 (Jul - Sep),21884220,2026371749
Maharashtra,2022,Q3 (Jul - Sep),53432602,2638663712
Manipur,2022,Q3 (Jul - Sep),457063,26011343
Meghalaya,2022,Q3 (Jul - Sep),283487,32596135
Mizoram,2022,Q3 (Jul - Sep),127735,15557163
Nagaland,2022,Q3 (Jul - Sep),307386,31229366
Odisha,2022,Q3 (Jul - Sep),13493282,725475924
Puducherry,2022,Q3 (Jul - Sep),496570,4186911
Punjab,2022,Q3 (Jul - Sep),8097582,154625731
Rajasthan,2022,Q3 (Jul - Sep),26042948,3299787866
Sikkim,2022,Q3 (Jul - Sep),232025,18748536
Tamil Nadu,2022,Q3 (Jul - Sep),24019964,866738343
Telangana,2022,Q3 (Jul - Sep),24506111,1255597644
Tripura,2022,Q3 (Jul - Sep),649143,24123569
Uttar Pradesh,2022,Q3 (Jul - Sep),43537920,1035702397
Uttarakhand,2022,Q3 (Jul - Sep),4081976,152803850
West Bengal,2022,Q3 (Jul - Sep),24372048,256445748
Andaman & Nicobar,2022,Q4 (Oct - Dec),88442,4354093
Andhra Pradesh,2022,Q4 (Oct - Dec),27778016,1673374802
Arunachal Pradesh,2022,Q4 (Oct - Dec),390307,21775038
Assam,2022,Q4 (Oct - Dec),5247776,248781157
Bihar,2022,Q4 (Oct - Dec),21738117,834827202
Chandigarh,2022,Q4 (Oct - Dec),627563,15308862
Chhattisgarh,2022,Q4 (Oct - Dec),6846822,354976814
Dadra and Nagar Haveli and Daman and Diu,2022,Q4 (Oct - Dec),500125,24066770
Delhi,2022,Q4 (Oct - Dec),15764149,401864749
Goa,2022,Q4 (Oct - Dec),855202,43005212
Gujarat,2022,Q4 (Oct - Dec),22412353,790984595
Haryana,2022,Q4 (Oct - Dec),14994944,556898878
Himachal Pradesh,2022,Q4 (Oct - Dec),2483076,72355717
Jammu & Kashmir,2022,Q4 (Oct - Dec),1793434,60205865
Jharkhand,2022,Q4 (Oct - Dec),8217638,396098729
Karnataka,2022,Q4 (Oct - Dec),36081698,3011645011
Kerala,2022,Q4 (Oct - Dec),10382102,346981849
Ladakh,2022,Q4 (Oct - Dec),106337,3832339
Lakshadweep,2022,Q4 (Oct - Dec),6961,72377
Madhya Pradesh,2022,Q4 (Oct - Dec),22913924,1388282818
Maharashtra,2022,Q4 (Oct - Dec),55954028,2982202696
Manipur,2022,Q4 (Oct - Dec),477292,12462732
Meghalaya,2022,Q4 (Oct - Dec),295322,10105924
Mizoram,2022,Q4 (Oct - Dec),132870,3144551
Nagaland,2022,Q4 (Oct - Dec),321205,11171582
Odisha,2022,Q4 (Oct - Dec),14127239,726099254
Puducherry,2022,Q4 (Oct - Dec),520649,24144184
Punjab,2022,Q4 (Oct - Dec),8462753,199899443
Rajasthan,2022,Q4 (Oct - Dec),27255927,1537424924
Sikkim,2022,Q4 (Oct - Dec),241968,8948864
Tamil Nadu,2022,Q4 (Oct - Dec),25136112,1229187623
Telangana,2022,Q4 (Oct - Dec),25656381,1731228513
Tripura,2022,Q4 (Oct - Dec),678741,16107610
Uttar Pradesh,2022,Q4 (Oct - Dec),45648650,1682003791
Uttarakhand,2022,Q4 (Oct - Dec),4272049,160685547
West Bengal,2022,Q4 (Oct - Dec),25536381,678066327
