State,Year,Quarter,Register,App_opened
Nagaland,2018,Q3 (Jul - Sep),32090,0
Odisha,2018,Q3 (Jul - Sep),2795718,0
Puducherry,2018,Q3 (Jul - Sep),81546,0
Punjab,2018,Q3 (Jul - Sep),1473148,0
Rajasthan,2018,Q3 (Jul - Sep),5175453,0
Sikkim,2018,Q3 (Jul - Sep),37637,0
Tamil Nadu,2018,Q3 (Jul - Sep),3900177,0
Telangana,2018,Q3 (Jul - Sep),5138501,0
Tripura,2018,Q3 (Jul - Sep),116874,0
Uttar Pradesh,2018,Q3 (Jul - Sep),8096483,0
Uttarakhand,2018,Q3 (Jul - Sep),810612,0
West Bengal,2018,Q3 (Jul - Sep),4851740,0
Andaman & Nicobar,2018,Q4 (Oct - Dec),15222,0
Andhra Pradesh,2018,Q4 (Oct - Dec),6857409,0
Arunachal Pradesh,2018,Q4 (Oct - Dec),61852,0
Assam,2018,Q4 (Oct - Dec),1039221,0
Bihar,2018,Q4 (Oct - Dec),4776665,0
Chandigarh,2018,Q4 (Oct - Dec),177747,0
Chhattisgarh,2018,Q4 (Oct - Dec),1579998,0
Dadra and Nagar Haveli and Daman and Diu,2018,Q4 (Oct - Dec),116511,0
Delhi,2018,Q4 (Oct - Dec),4630313,0
Goa,2018,Q4 (Oct - Dec),195350,0
Gujarat,2018,Q4 (Oct - Dec),5579040,0
Haryana,2018,Q4 (Oct - Dec),3793079,0
Himachal Pradesh,2018,Q4 (Oct - Dec),526343,0
Jammu & Kashmir,2018,Q4 (Oct - Dec),436563,0
Jharkhand,2018,Q4 (Oct - Dec),1913949,0
Karnataka,2018,Q4 (Oct - Dec),8315802,0
Kerala,2018,Q4 (Oct - Dec),1757326,0
Ladakh,2018,Q4 (Oct - Dec),23883,0
Lakshadweep,2018,Q4 (Oct - Dec),1156,0
Madhya Pradesh,2018,Q4 (Oct - Dec),5365442,0
Maharashtra,2018,Q4 (Oct - Dec),13381602,0
Manipur,2018,Q4 (Oct - Dec),82589,0
Meghalaya,2018,Q4 (Oct - Dec),49634,0
Mizoram,2018,Q4 (Oct - Dec),19365,0
Nagaland,2018,Q4 (Oct - Dec),42997,0
Odisha,2018,Q4 (Oct - Dec),3623911,0
Puducherry,2018,Q4 (Oct - Dec),109494,0
Punjab,2018,Q4 (Oct - Dec),1865715,0
Rajasthan,2018,Q4 (Oct - Dec),6358738,0
Sikkim,2018,Q4 (Oct - Dec),48538,0
Tamil Nadu,2018,Q4 (Oct - Dec),5199878,0
Telangana,2018,Q4 (Oct - Dec),6529679,0
Tripura,2018,Q4 (Oct - Dec),153265,0
Uttar Pradesh,2018,Q4 (Oct - Dec),10341964,0
Uttarakhand,2018,Q4 (Oct - Dec),1012103,0
West Bengal,2018,Q4 (Oct - Dec),6279278,0
Andaman & Nicobar,2019,Q1 (Jan - Mar),18596,0
Andhra Pradesh,2019,Q1 (Jan - Mar),8283019,0
Arunachal Pradesh,2019,Q1 (Jan - Mar),76957,0
Assam,2019,Q1 (Jan - Mar),1259085,0
Bihar,2019,Q1 (Jan - Mar),5745117,0
Chandigarh,2019,Q1 (Jan - Mar),209175,0
Chhattisgarh,2019,Q1 (Jan - Mar),1908898,0
Dadra and Nagar Haveli and Daman and Diu,2019,Q1 (Jan - Mar),140532,0
Delhi,2019,Q1 (Jan - Mar),5499263,0
Goa,2019,Q1 (Jan - Mar),238152,0
Gujarat,2019,Q1 (Jan - Mar),6652536,0
Haryana,2019,Q1 (Jan - Mar),4538767,0
Himachal Pradesh,2019,Q1 (Jan - Mar),653205,0
Jammu & Kashmir,2019,Q1 (Jan - Mar),530669,0
Jharkhand,2019,Q1 (Jan - Mar),2279329,0
Karnataka,2019,Q1 (Jan - Mar),10266174,0
Kerala,2019,Q1 (Jan - Mar),2136624,0
Ladakh,2019,Q1 (Jan - Mar),29649,0
Lakshadweep,2019,Q1 (Jan - Mar),1416,0
Madhya Pradesh,2019,Q1 (Jan - Mar),6414403,0
Maharashtra,2019,Q1 (Jan - Mar),16284451,0
Manipur,2019,Q1 (Jan - Mar),99527,0
Meghalaya,2019,Q1 (Jan - Mar),61487,0
Mizoram,2019,Q1 (Jan - Mar),23670,0
Nagaland,2019,Q1 (Jan - Mar),53911,0
Odisha,2019,Q1 (Jan - Mar),4320744,0
Puducherry,2019,Q1 (Jan - Mar),133059,0
Punjab,2019,Q1 (Jan - Mar),2226590,0
Rajasthan,2019,Q1 (Jan - Mar),7712204,0
Sikkim,2019,Q1 (Jan - Mar),58956,0
Tamil Nadu,2019,Q1 (Jan - Mar),6296303,0
Telangana,2019,Q1 (Jan - Mar),7963425,0
